Question,Answer
"国际法
扫一扫，“码”上做题
微信扫码，即可线上做题、看解析。
多种做题模式：章节自测、单科集训、随机演练等。
第一章 导论
考点1 国际法渊源
1.2007/1/77/多 【指2007年/试卷一/第77题/多选——编者注。】
国际人道法中的区分对象原则（区分军事与非军事目标，区分战斗员与平民）是一项已经确立的国
际习惯法原则，也体现在《1977年日内瓦四公约第一附加议定书》中。甲乙丙三国中，甲国是该议定
书的缔约国，乙国不是，丙国曾是该议定书的缔约国，后退出该议定书。根据国际法的有关原理和规
则，下列哪些选项是错误的？ 【AC】
A.该原则对甲国具有法律拘束力，但对乙国没有法律拘束力
B.丙国退出该议定书后，该议定书对丙国不再具有法律拘束力
C.丙国退出该议定书后，该原则对丙国不再具有法律拘束力
D.该原则对于甲乙丙三国都具有法律拘束力","国际习惯［AC］
［解析］国际法渊源包括国际习惯法和国际条约。二者的区别是国际习惯法约束所有国家，而国际条约只约束其缔约国。
本题中，区分对象原则是国际习惯法，所以甲乙丙三国都受该原则的拘束。条约仅对缔结国有拘束力，丙国在退出协定书之后，就不再受该协定书的拘束，但是依然受区分对象原则的拘束。所以A、 C项表述错误， B、 D项表述正确。"
"考点2 国际法的基本原则
2.2013/1/75/多
关于国际法基本原则，下列哪些选项是正确的？ 【ACD】
A.国际法基本原则具有强行法性质
B.不得使用威胁或武力原则是指禁止除国家对侵略行为进行的自卫行动以外的一切武力的使用
C.对于一国国内的民族分离主义活动，民族自决原则没有为其提供任何国际法根据
D.和平解决国际争端原则是指国家间在发生争端时，各国都必须采取和平方式予以解决","国际法基本原则的特征；不得使用武力或武力威胁原则；民族自决原则；和平解决国际争端原则［ACD］
［解析］国际法基本原则的基本特征有四点：（1）各国公认；（2）适用于国际法律关系的所有领域；（3）构成国际法体系的基础；（4）具有强行法性质。故A项正确。
不得使用威胁或武力并不是禁止一切武力的使用，凡是符合《联合国宪章》和国际法规则的武力使用是被允许的。除了自卫行动外，经联合国授权的维和行动也属于合法使用武力的范畴。故B项错误。
民族自决原则中独立权的范围，仅仅适用于殖民地民族的独立，不得扩大适用。对于一国国内的民族分离主义活动，不得援引民族自决原则作为根据。严格禁止任何国家假借民族自决名义，制造、煽动或支持民族分裂行为。故C项正确。
和平解决国际争端原则是指各国发生争端时，都必须采取和平的方式予以解决，禁止将武力或武力威胁的方式付诸争端解决的过程中。1928年《巴黎非战公约》首次把和平解决国际争端规定为一项普遍性的国际义务。故D项正确。"
"第二章 国际法的主体与国际法律责任
考点3 国家管辖权
3.2011/1/33/单
甲国人张某侵吞中国某国企驻甲国办事处的大量财产。根据中国和甲国的法律，张某的行为均认定
为犯罪。中国与甲国没有司法协助协定。根据国际法相关规则，下列哪一选项是正确的？ 【A】
A.张某进入中国境内时，中国有关机关可依法将其拘捕
B.中国对张某侵吞财产案没有管辖权
C.张某乘甲国商船逃至公海时，中国有权派员在公海将其缉拿
D.甲国有义务将张某引渡给中国","国家管辖权中的保护性管辖和引渡［A］
［解析］保护性管辖的条件有三：（1）外国人；（2）犯罪行为在域外；（3）侵犯了我国的重大利益。张某侵吞中国国企驻甲国办事处的财产符合保护性管辖权的三个条件，据此，中国可以对张某的行为实行管辖。故B项错误。这种管辖通过两种途径实现，一是在张某进入中国境内时对其进行拘捕，故A项正确；二是通过引渡，在没有双边引渡条约的情况下，引渡是国家的权利而非义务，“有义务”的说法错误，故D项错误。
《联合国海洋法公约》规定，除国际条约或本公约明文规定的例外情况，在公海上的船舶受其船旗国的专属管辖。保护性管辖不能在公海行使，因此张某乘甲国商船逃至公海时，中国无权派员在公海将其缉拿。故C项错误。"
"4.2006/1/78/多
“恐龙国际”是一个在甲国以非营利性社会团体注册成立的组织，成立于1998年，总部设在甲国，
会员分布在20多个国家。该组织的宗旨是鼓励人们“认识恐龙，回溯历史”。2001年，“恐龙国际”获得
联合国经社理事会注册咨商地位。现该组织试图把活动向乙国推广，并准备在乙国发展会员。依照国际
法，下列哪些表述是正确的？ 【BC】
A.乙国有义务让“恐龙国际”在乙国发展会员
B.乙国有权依照其本国法律阻止该组织在乙国的活动
C.该组织在乙国从事活动，必须遵守乙国法律
D.由于该组织已获得联合国经社理事会注册咨商地位，因此，它可以被视为政府间的国际组织","国家独立权、政府间国际组织［BC］
［解析］国家独立权是指国家依照自己的意志处理内外事务并不受他国控制和干涉的权利。乙国无义务让“恐龙国际”在乙国发展会员;乙国有权依照其本国法律阻止该组织在乙国的活动;该组织在乙国从事活动，必须遵守乙国法律。故A项错误， B、C项正确。
政府间的国际组织是指通过政府协议成立的、旨在进行国际合作、具有常设机构的国家间的联合体。“恐龙国际”只是一个在甲国以非营利性社会团体注册成立的组织，尽管已经获得联合国经社理事会注册咨商地位，仍无法被视为政府间国际组织。故D项错误。"
"考点4 国家主权豁免
5.2014/1/75/多
甲国某公司与乙国驻甲国使馆因办公设备合同产生纠纷，并诉诸甲国法院。根据相关国际法规则，
下列哪些选项是正确的？ 【BC】
A.如合同中有适用甲国法律的条款，则表明乙国放弃了其管辖的豁免
B.如乙国派代表出庭主张豁免，不意味着其默示接受了甲国的管辖
C.如乙国在本案中提起了反诉，则是对管辖豁免的默示放弃
D.如乙国曾接受过甲国法院的管辖，甲国法院即可管辖本案","国家主权豁免［BC］
［解析］本题中，乙国驻甲国使馆实施的办公设备买卖行为，可以视为国家的行为。管辖豁免的放弃可以分为明示放弃和默示放弃两种形式。明示放弃是指国家或其授权的代表通过条约、合同、其他正式文件或声明，事先或事后以明白的语言文字表达就某种行为或事项上豁免的放弃。A项中，乙国同意适用甲国的法律，不能表明乙国放弃了其管辖的豁免。故A项错误。默示放弃是指国家通过在外国法院的与特定诉讼直接有关的积极行为，表示其放弃豁免而接受法院管辖，包括国家作为原告在外国法院提起诉讼、正式出庭应诉、提起反诉，或作为诉讼利害关系人介入特定诉讼等。故C项正确。
国家在外国领土范围内从事商业行为本身不意味着豁免的放弃。国家或其授权的代表为主张或重申国家的豁免权，对外国法院的管辖作出反应，出庭阐述立场或作证，或要求法院宣布判决或裁决无效，都不构成豁免的默示放弃。也即一国仅为援引豁免之目的而介入诉讼并不视为同意另一国家的法院对其行使管辖权。故B项正确。
一国不能通过本国立法来改变别国的豁免立场，也不能将一国对某一特定事项上的豁免放弃推移到其他事项上，或将一国的豁免放弃推移到另一国家上。国家豁免的放弃必须是特定的、自愿的、明确的。以往接受过管辖，并不代表现在会接受管辖。故D项错误。"
"6.2010/1/30/单
甲国政府与乙国A公司在乙国签订一份资源开发合同后，A公司称甲国政府未按合同及时支付有关
款项。纠纷发生后，甲国明确表示放弃关于该案的诉讼管辖豁免权。根据国际法规则，下列哪一选项是
正确的？ 【B】
A.乙国法院可对甲国财产进行查封
B.乙国法院原则上不能对甲国强制执行判决，除非甲国明示放弃在该案上的执行豁免
C.如第三国法院曾对甲国强制执行判决，则乙国法院可对甲国强制执行判决
D.如乙国主张限制豁免，则可对甲国强制执行判决","国家管辖豁免的放弃；国家执行豁免的放弃［B］
［解析］国家豁免权的放弃，是指国家可以自愿地就某种特定行为或不行为接受外国法院的管辖。一国对管辖豁免权的放弃，并不意味着对执行豁免同时放弃。故A项错误，B项正确。不能将一国的豁免权放弃推移到其他国家身上。故C项错误。绝对豁免和相对豁免理论的差异在于管辖豁免上，两种理论都坚持国家享有执行豁免。故D项错误。"
"考点5 国际法上的承认
7.2010/1/29/单
甲乙二国建立正式外交关系数年后，因两国多次发生边境冲突，甲国宣布终止与乙国的外交关系。
根据国际法相关规则，下列哪一选项是正确的？ 【A】
A.甲国终止与乙国的外交关系，并不影响乙国对甲国的承认
B.甲国终止与乙国的外交关系，表明甲国不再承认乙国作为一个国家
C.甲国主动与乙国断交，则乙国可以撤回其对甲国作为国家的承认
D.乙国从未正式承认甲国为国家，建立外交关系属于事实上的承认","国家的承认；承认与建交的关系［A］
［解析］国家承认是指现存国家对新国家产生的事实给予确认并接受由此而产生的法律效果，与新国家进行正常交往的行为。对新国家承认后就是一种既定事实，无法回转，与是否建立外交关系也是两个问题。故A项正确。国家承认是一种事实认可，不存在撤回问题。故B、C项错误。
承认的表示方式：（1）明示承认：以明白的语言文字直接表达承认，包括通过正式通知、函电、照会、声明等单方面表述，也包括在缔结条约或其他正式国际文件中进行明确表述。（2）默示承认：通过与承认对象有关的行为表现出承认的意思，包括与承认者建立正式外交关系、与承认者缔结正式的政治性条约、正式接受领事或正式投票支持参加政府间国际组织的行为等。建立外交关系属于法律意义的默示承认之一，并非事实上的承认。故D项错误。"
"考点6 国际法上的继承
8.2008/1/33/单
甲国与乙国1992年合并为一个新国家丙国。此时，丁国政府发现，原甲国中央政府、甲国南方
省，分别从丁国政府借债3000万美元和2000万美元。同时，乙国元首以个人名义从丁国的商业银行
借款100万美元，用于乙国1991年救灾。上述债务均未偿还。甲乙丙丁四国没有关于甲乙两国合并之
后所涉债务事项的任何双边或多边协议。根据国际法中有关原则和规则，下列哪一选项是正确的？
【B】
A.随着一个新的国际法主体丙国的出现，上述债务均已自然消除
B.甲国中央政府所借债务转属丙国政府承担
C.甲国南方省所借债务转属丙国政府承担
D.乙国元首所借债务转属丙国政府承担","国家债务的继承［B］
［解析］丙国为国家合并而产生的新国家，对原甲、乙两国的非恶债应予继承。故A项错误。
甲国中央政府所借债务属于国家债务；而甲国南方省所借债务属于地方债务，不在国家继承的范围之内。故B项正确，C项错误。
D项乙国元首以个人名义所借款项属个人债务，不应由丙国政府承担。故D项错误。"
"考点7 联合国的组织机构
9.2016/1/32/单
联合国会员国甲国出兵侵略另一会员国。联合国安理会召开紧急会议，讨论制止甲国侵略的决议
案，并进行表决。表决结果为：常任理事国4票赞成、1票弃权；非常任理事国8票赞成、2票否决。据
此，下列哪一选项是正确的？ 【C】
A.决议因有常任理事国投弃权票而不能通过
B.决议因非常任理事国两票否决而不能通过
C.投票结果达到了安理会对实质性问题表决通过的要求
D.安理会为制止侵略行为的决议获简单多数赞成票即可通过","联合国体系；安理会表决机制［C］
［解析］《联合国宪章》规定，联合国安理会采取每一理事国一票的表决制度。对于程序性事项的表决，要求9张同意票即可通过；对于实质性事项的表决，则须遵守“大国一致原则”，也就是要满足三个条件：（1）同意票必须达到9票；（2）不得有常任理事国的否决票；（3）常任理事国的弃权或缺席不构成否决。常见的实质性事项主要包括：和平解决国际争端及采取有关行动、向大会推荐接纳新会员国或秘书长人选、建议中止会员国权利或开除会籍等。
常任理事国的弃权和缺席均不被视为否决，不影响决议的通过。故A项错误。
非常任理事国2票否决也不影响决议的通过。故B项错误。
常任理事国没有会员国投否决票，且有4票赞成，加上非常任理事国的8票，共12票，已经达到安理会对实质性问题表决通过的要求。故C项正确。
甲国出兵侵略另一会员国属于涉及和平安全有关的事项，属于实质性事项，需要全体常任理事国在内的9个同意票。故D项错误。"
"10.2015/1/32/单
联合国大会由全体会员国组成，具有广泛的职权。关于联合国大会，下列哪一选项是正确的？
【D】
A.其决议具有法律拘束力
B.表决时安理会5个常任理事国的票数多于其他会员国
C.大会是联合国的立法机关，三分之二以上会员国同意才可以通过国际条约
D.可以讨论《联合国宪章》范围内或联合国任何机关的任何问题，但安理会正在审议的除外","联合国大会的职权［D］
［解析］联合国大会对于联合国组织内部事务通过的决议对于会员国具有约束力，对于其他一般事项作出的决议只有建议性质，不具有法律拘束力。故A项错误。
联合国大会的表决实行会员国一国一票制，各国不论大小，一律一国一票。故B项错误。
联合国大会不是一个立法机关，而主要是一个建议和审议机关。故C项错误。
根据《联合国宪章》，大会具有广泛的职权，可以讨论宪章范围内或联合国任何机关的任何问题，但安理会正在审议的除外。故D项正确。"
