Question,Answer
"第一章 刑法概说
考点1 刑法的解释
1.2019回忆/单
关于刑法的解释，下列哪一项说法是正确的？ 【B】
A.按照体系解释，传播淫秽物品罪与传播性病罪的“传播”含义一致
B.依据论理解释，倒卖文物罪中的“倒卖”是指以牟利为目的，出售或为出售而购买国家禁止经营的
文物
C.招摇撞骗罪是指冒充国家机关工作人员招摇撞骗。将副乡长冒充市长招摇撞骗解释为“冒充”国家
机关工作人员招摇撞骗，不符合文理解释
D.将虐待罪的对象“家庭成员”解释为包括保姆在内，符合类推解释","体系解释；文理解释；论理解释［B］
［解析］体系解释，是指根据体系逻辑来论证解释后的含义在刑法体系中是否协调合理。体系解释并不意味着同一用语在不同条文中需要保持同一含义。相反，基于体系的协调合理要求，同一用语在不同条文中可以保持不同含义。这便是“同一用语的含义相对化”（一词多义）。A项考查的就是一词多义。传播淫秽物品罪的“传播”是指让不特定人知晓淫秽物品的内容。传播性病罪中的“传播”是指通过性器官接触传染性病。二者含义不同。故A项错误。
倒卖文物罪的“倒卖”，并不需要严格限定为“买进后卖出”，包括单纯的买入或者卖出。此外，刑法分则规定的“买卖”，应统一理解为买进或卖出的行为。司法解释也肯定了这种解释结论。根据“两高”《关于办理妨害文物管理等刑事案件适用法律若干问题的解释》的规定，倒卖是指以牟利为目的，出售或者为出售而收购、运输、储存的行为。可见，倒卖不要求“买进并卖出”，而是“买进或卖出”的行为。从论理解释的角度而言，论理解释是一个笼统的概念，涵盖广泛，它既包含解释的理由（如当然解释、体系解释等），也包含解释的技巧（如扩大解释、缩小解释等），将倒卖解释为“买进或卖出”，是一种扩大解释。故B项正确。
冒充国家机关工作人员的情形包括：第一，非国家机关工作人员冒充国家机关工作人员（包括离职的国家机关工作人员冒充在职的国家机关工作人员）；第二，此种国家机关工作人员冒充彼种国家机关工作人员，如行政机关工作人员冒充司法工作人员；第三，职务低的国家机关工作人员冒充职务高的国家机关工作人员（或者相反）。C项即符合上述第二、三种情形。这些冒充行为由于均侵害了特定国家机关工作人员的公众信赖感，因此均属于招摇撞骗罪中的“冒充”。这种解释符合文理解释。故C项错误。
D项属于扩大解释，而非类推解释。只要共同生活的成员，事实上在同一个家庭生活，均可以解释为“家庭成员”，成为虐待罪的对象，不限于基于血缘关系的家庭成员。这种解释并没有超出“家庭成员”这一概念的含义范围。故D项错误。"
"2.2018回忆/多
关于刑法解释，下列哪些说法是正确的？ 【ACD】
A.大炮的危险性比枪支严重，因此将非法制造大炮解释为非法制造枪支罪，属于扩大解释，不违反
罪刑法定原则
B.根据当然解释，生产、销售假药罪中的假药是指完全没有疗效的药，因此有疗效的药不是假药
C.为境外非法提供国家秘密、情报罪中的“情报”应该缩小解释为“关系国家安全和利益、尚未公开
或者依照有关规定不应公开的事项”
D.将假冒他人未注册的商标解释为假冒注册商标罪，违反罪刑法定原则","扩大解释；类推解释；反对解释；缩小解释［ACD］
［解析］根据相关司法解释，对于非法制造、买卖、运输、储存以火药为动力发射弹药的大口径武器的行为，应当依照《刑法》第125条第1款的规定，以非法制造、买卖、运输、储存枪支罪追究刑事责任。据此，大炮属于以火药为动力发射弹药的大口径武器，可认定为枪支。这是一种扩大解释。故A项正确。
反对解释，是指根据用语的正面表述，推导出其反面含义，也即从“A”推导出“非A”。B项即是从假药无疗效，反向推导出有疗效的药不是假药，因此属于反对解释。当然解释，是指根据形式逻辑来论证解释后的含义是否符合当然道理，在论证出罪时“举重以明轻”（重的行为都无罪，轻的行为更应无罪），在论证入罪时“举轻以明重”（轻的行为都是犯罪，重的行为更应是犯罪）。当然解释所比较的两个行为应属于性质相同、程度不同的两个行为；如果性质不同，不能进行当然解释。假药与真药性质不同，不适用于当然解释；若根据完全没有疗效的药是假药，推导出有毒、有害的药是假药，则是当然解释。故B项错误。
情报有好多种，如涉及经济、政治、文化、社会等各方面的情报。由于本罪属于危害国家安全犯罪，所以这里的“情报”只能缩小解释为涉及国家安全的情报。故C项正确。
假冒注册商标罪要求假冒的必须是“注册商标”。将“未注册的商标”解释为“注册商标”，属于类推解释，违反了罪刑法定原则。故D项正确。"
"3.2016/2/51/多 【指2016年/试卷二/第51题/多选——编者注。】
关于罪刑法定原则与刑法解释，下列哪些选项是正确的？ 【AD】
A.对甲法条中的“暴力”作扩大解释时，就不可能同时再作限制解释，但这并不意味着对乙法条中
的“暴力”也须作扩大解释
B.《刑法》第237条规定的强制猥亵、侮辱罪中的“侮辱”，与《刑法》第246条规定的侮辱罪中
的“侮辱”，客观内容相同、主观内容不同
C.当然解释是使刑法条文之间保持协调的解释方法，只要符合当然解释的原理，其解释结论就不会
违反罪刑法定原则
D.对刑法分则条文的解释，必须同时符合两个要求：一是不能超出刑法用语可能具有的含义，二
是必须符合分则条文的目的","罪刑法定原则；刑法解释［AD］
［解析］刑法中的“暴力”这一概念有多重含义，根据刑法解释理论，在不同语境下应当对“暴力”作出不同的解释，有的条文中需要进行扩大解释，有的条文中则需要进行限制解释，这并不违反罪刑法定原则。扩大解释与限制解释是两种方向相反的解释方法，从立法目的出发，对同一法条中的“暴力”，如有扩大解释的必要，就不可能再进行限制解释，反之亦然。故A项正确。
《刑法》第237条强制猥亵、侮辱罪中的“猥亵”“侮辱”，是指针对他人实施的，具有性的意义，侵害他人性的决定权的行为；而《刑法》第246条侮辱罪中的侮辱行为只需具有损毁他人名誉的性质即可。二者在客观方面并不相同。故B项错误。
当然解释是体系解释的要求，以通过类比的方法追求合理的结论，但也需受罪刑法定原则的限制，即便符合当然解释的原理，当然解释的结论也完全可能因超出法条文字可能文义的射程而违反罪刑法定原则。故C项错误。
刑法解释的技巧和理由是多种多样的，但选择何种解释技巧、理由，必然要受到特定的约束。对刑法分则的解释不仅要实现条文的立法目的，达成实质上的合理性。而且在形式上不能突破文字的边缘含义，这是罪刑法定原则的要求。故D项正确。"
"4.2015/2/51/多
关于刑法解释，下列哪些选项是错误的？ 【BCD】
A.《刑法》规定“以暴力、胁迫或者其他手段强奸妇女的”构成强奸罪。按照文理解释，可将丈夫强
行与妻子性交的行为解释为“强奸妇女”
B.《刑法》对抢劫罪与强奸罪的手段行为均使用了“暴力、胁迫”的表述，且二罪的法定刑相同，故
对二罪中的“暴力、胁迫”应作相同解释
C.既然将为了自己饲养而抢劫他人宠物的行为认定为抢劫罪，那么，根据当然解释，对为了自己收
养而抢劫他人婴儿的行为更应认定为抢劫罪，否则会导致罪刑不均衡
D.对中止犯中的“自动有效地防止犯罪结果发生”，既可解释为自动采取措施使得犯罪结果未发
生；也可解释为自动采取防止犯罪结果发生的有效措施，而不管犯罪结果是否发生","文理解释；当然解释；犯罪中止［BCD］
［解析］从文理解释的角度看，根据法律条文的规定，只要违背妇女意志，以暴力、胁迫或者其他手段强行与其发生性关系的，就属于强奸行为。因此，如果丈夫违背妻子的意愿与其发生性关系的，可以解释为“强奸妇女”。故A项正确，不当选。
抢劫罪中的“暴力、胁迫”要求达到足以压制反抗的程度，其中“暴力”针对的对象范围较宽，包含财物的占有者、管理者及其亲属，甚至前来阻止的路人，在内容上包含为抢劫故意杀人的情形；而强奸罪中的“暴力、胁迫”要求使被害妇女明显难以反抗，其中“暴力”针对的对象仅限于被害人，不包括其他人，而且强奸罪不能完全评价故意杀人行为（否则成立想象竞合犯）。故B项错误，当选。
将为了自己饲养而抢劫他人宠物的行为认定为抢劫罪，侵犯的是他人的财产权，但是为了自己收养而抢劫他人婴儿的行为侵犯的是人身权，因此不是抢劫罪所能涵盖的范围。故C项错误，当选。
中止犯中“自动有效地防止犯罪结果发生”是指基于意志以内的原因（自动性），为防止犯罪结果的发生而作出真挚努力（客观性），并实际防止了犯罪结果的发生（有效性）。因此，即使行为人采取防止结果发生的措施，但如果犯罪结果发生，并且与犯罪行为之间存在因果关系的话，则直接认定为故意犯罪既遂，不可能成立中止，即不属于“自动有效地防止犯罪结果发生”。故D项错误，当选。"
"5.2014/2/3/单
关于刑法用语的解释，下列哪一选项是正确的？ 【B】
A.按照体系解释，刑法分则中的“买卖”一词，均指购买并卖出；单纯的购买或者出售，不属于“买
卖”
B.按照同类解释规则，对于刑法分则条文在列举具体要素后使用的“等”、“其他”用语，应按照所
列举的内容、性质进行同类解释
C.将明知是捏造的损害他人名誉的事实，在信息网络上散布的行为，认定为“捏造事实诽谤他人”，
属于当然解释
D.将盗窃骨灰的行为认定为盗窃“尸体”，属于扩大解释","刑法解释［B］
［解析］体系解释是指根据刑法条文在整个刑法中的地位，联系相关法条的含义，阐明其规范含义。刑法分则中的“买卖”一词，既包括购买并卖出，也包括为出售而购买。A项将“买卖”解释为“购买并卖出”，错误地将“为卖而买”的行为排除在外，并不符合刑法本意。故A项错误。
同类解释规则，也叫只含同类规则，即当刑法语词含义不清时，对附随于确定性语词之后的总括性语词的含义，应当根据确定性语词所涉及的同类或者同级事项予以确定。因此，对于刑法分则中的兜底性条文，即在列举具体要素后使用的“等”“其他”用语，应按照所列举的内容、性质进行同类解释。故B项正确。
在“捏造事实诽谤他人”的规定中，“捏造事实”属于预备行为，“诽谤他人”才是实行行为。故只要明知是捏造的事实而散布并诽谤他人的，虽然同样成立诽谤罪，但没有捏造事实，就不能认定为“捏造事实”。故C项错误。
将盗窃骨灰解释为盗窃尸体，属于罪刑法定原则所禁止的类推解释。故D项错误。"
"6.2013/2/3/单
关于刑法解释，下列哪一选项是错误的？ 【A】
A.学理解释中的类推解释结论，纳入司法解释后不属于类推解释
B.将大型拖拉机解释为《刑法》第116条破坏交通工具罪的“汽车”，至少是扩大解释乃至是类推解
释
C.《刑法》分则有不少条文并列规定了“伪造”与“变造”，但不排除在其他一些条文中将“变造”解
释为“伪造”的一种表现形式
D.《刑法》第65条规定，不满18周岁的人不成立累犯；《刑法》第356条规定，因走私、贩卖、
运输、制造、非法持有毒品罪被判过刑，又犯本节规定之罪的，从重处罚。根据当然解释的原理，对不","刑法解释［A］
［解析］立法解释、司法解释与学理解释的不同仅仅在于解释的主体和效力不同，在解释方法和技巧方面没有差别。因此，学理解释中的类推解释结论，纳入司法解释后仍然属于类推解释。故A项错误。
由于破坏大型拖拉机也会发生危害公共安全的危害结果，故从结论合理性上来说，可以将大型拖拉机解释为破坏交通工具罪中的“汽车”。但“汽车”一词的核心含义通常并不包含大型拖拉机，故上述解释结论至少是扩大解释乃至是类推解释。故B项正确。
刑法用语的含义具有相对性，在不同的上下文或者语境中可能具有不同的含义。在刑法条文明文规定了“伪造”与“变造”的场合，二者当然具有不同的含义；但在有的场合，尤其是法律只规定了“伪造”的时候，这里的“伪造”就有可能包括“变造”，如信用卡诈骗罪中“使用伪造的信用卡”中的“伪造”就包括“变造”这一表现方式。故C项正确。
相比较毒品犯罪中的特别再犯制度，累犯是更严厉的量刑情节（累犯应当从重处罚、不得缓刑、不得假释，而特别再犯只是从重处罚）。为了更好地实现对未成年人的特殊保护，按照当然解释的原理（举轻以明重，举重以明轻），既然不满18周岁的人不成立累犯，那么就更不能对其适用更轻的特别再犯制度。故D项正确。"
"满18周岁的人不适用《刑法》第356条
7.2011/2/51/多
①对于同一刑法条文中的同一概念，既可以进行文理解释也可以进行论理解释
②一个解释者对于同一刑法条文的同一概念，不可能同时既作扩大解释又作缩小解释
③刑法中类推解释被禁止，扩大解释被允许，但扩大解释的结论也可能是错误的
④当然解释追求结论的合理性，但并不必然符合罪刑法定原则
关于上述4句话的判断，下列哪些选项是错误的？ 【ABCD】
A.第①句正确，第②③④句错误
B.第①②句正确，第③④句错误
C.第①③句正确，第②④句错误
D.第①③④句正确，第②句错误","刑法解释［ABCD］
［解析］文理解释是指根据刑法用语的文义及其通常使用方式阐释刑法意义的解释方法。论理解释是指参酌刑法产生的原因、理由、沿革及其他相关事项，按照立法精神阐明刑法真实含义的解释方法。文理解释的根据主要是语词的含义、语法、标点及标题。如果文理解释的结论合理，则没有必要采取论理解释的方法；如果文理解释的结论不合理或者产生多种结论，则必须进行论理解释。第①句正确。
应否作出扩大解释，还必须考虑处罚的必要性。对于一个行为而言，其处罚的必要性越大，将其解释为犯罪的可能性就越大，但如果行为离刑法用语核心含义的距离越远，则解释为犯罪的可能性就越小。缩小解释的适用也是同样道理。但是二者适用的情境是相反的。因此，一个解释者对于同一刑法条文的同一概念，不可能同时既作扩大解释又作缩小解释。第②句正确。
类推解释超出了刑法用语可能具有的含义，违背了罪刑法定原则，所以是被禁止的解释方法（但允许有利于行为人的类推解释）。扩大解释本身是被刑法所允许的，方法正确，但是依据正确的方法解释出来的结论有可能是错误的，因为解释的人不同，理解的角度可能不一样，会存在解释错误的情况。第③句正确。
当然解释是指在所面临的案件缺乏可以适用的法条时，通过参照各种事项，从既有的法条获得指导，对案件适用既有法条。即入罪时举轻以明重、出罪时举重以明轻。但是，解释刑法时不得直接采取当然解释认定行为构成犯罪，因为有可能解释结论超出了刑法用语可能具有的含义，从而违背罪刑法定。只有该行为同时符合刑法规定的犯罪构成要件，才能依法定罪处罚。第④句正确。"
"8.2009/2/1/单
关于刑法解释的说法，下列哪一选项是正确的？ 【C】
A.将盗窃罪对象的“公私财物”解释为“他人的财物”，属于缩小解释
B.将《刑法》第一百七十一条出售假币罪中的“出售”解释为“购买和销售”，属于当然解释
C.对随身携带枪支等国家禁止个人携带的器械以外的其他器械进行抢夺的，解释为以抢劫罪定罪，
属于扩张解释
D.将信用卡诈骗罪中的“信用卡”解释为“具有消费支付、信用贷款、转账结算、存取现金等全部功
能或者部分功能的电子支付卡”，属于类推解释","刑法解释［C］
［解析］作为财产犯罪对象的公私财物，只能是他人的财物，针对自己的财物不可能成立财产犯罪。不能在形式上认为，公私财物包括自己和他人的财物，进而认为将公私财物解释为他人的财物属于缩小解释。正如刑法中规定的“枪”，本来就是指的真枪，不能包含假枪或者其他仿真手枪，也不能认为故意杀人罪中的“人”包括自己和他人（通说）或者包括所谓的“假人”“死人”等。故这里的解释方法是平义解释。故A项错误。
《刑法》第171条第1款规定：“出售、购买伪造的货币或者明知是伪造的货币而运输，数额较大的，……”由于该条文将出售、购买行为并列，这就意味着此处的“出售”不能包含购买行为（该解释结论属于体系解释）。故B项错误。
在本来的意义上，凶器是指性质上的凶器，即其用途和存在的意义就在于杀伤人的器械，如枪支、管制刀具等。但对于菜刀等日用品来说，尽管其本来用途和存在意义一般在于日常生活所用，如果行为人携带这些器具打算用于犯罪，其发挥的作用和性质上的凶器一样，都具有杀伤人的可能性。所以，解释法律时就把凶器的范围加以扩大，包含这种用法上的凶器，这种解释属于扩张解释。故C项正确。
本来意义上的信用卡主要功能是能够透支（狭义上的信用卡）。但其他具有消费支付、信用贷款、转账结算、存取现金等全部功能或者部分功能的电子支付卡和狭义上的信用卡在大多数功能上具有一致性，所以立法解释就把信用卡的范围进行了扩张理解。故D项错误。"
"9.2008/2/20/单
①立法解释是由立法机关作出的解释，既然立法机关在制定法律时可以规定“携带凶器抢夺的”以抢
劫罪论处，那么，立法解释也可以规定“携带凶器盗窃的，以抢劫罪论处”。②当然，立法解释毕竟是解
释，所以，立法解释不得进行类推解释。③司法解释也具有法律效力，当司法解释与立法解释相抵触
时，应适用新解释优于旧解释的原则。④不过，司法解释的效力低于立法解释的效力，所以，立法解释
可以进行扩大解释，司法解释不得进行扩大解释。关于上述四句话正误的判断，下列哪一选项是正确
的？ 【B】
A.第①句正确，其他错误
B.第②句正确，其他错误
C.第③句正确，其他错误
D.第④句正确，其他错误","刑法解释［B］
［解析］立法解释，即由立法机关在刑法施行过程中对发生歧义的规定所作的解释，具有与法律同等的效力。立法解释应当在法律条文的范围内进行解释，而不应超出其范畴创设新的犯罪和刑罚内容。故第①句错误。
立法解释必须坚持罪刑法定原则，罪刑法定原则要求不得进行类推解释。故第②句正确。
司法解释，即最高人民法院和最高人民检察院就审判和检察工作中如何具体应用法律问题所作的解释，具有普遍适用的效力。司法解释必须遵守解释原理，不得进行类推解释。只要解释结论符合刑法的目的，且不违反罪刑法定原则，司法解释与立法解释都可以进行扩大解释。故第④句错误。
立法解释的效力是高于司法解释的，当司法解释与立法解释存在冲突时，直接适用立法解释，而不能适用司法解释。故第③句错误。故B项当选。"
"考点2 刑法的基本原则
10.2014/2/1/单
关于公平正义理念与罪刑相适应原则的关系，下列哪一选项是错误的？ 【C】
A.公平正义是人类社会的共同理想，罪刑相适应原则与公平正义相吻合
B.公平正义与罪刑相适应原则都要求在法律实施中坚持以事实为根据、以法律为准绳
C.根据案件特殊情况，为做到罪刑相适应，促进公平正义，可由最高法院授权下级法院，在法定刑
以下判处刑罚
D.公平正义的实现需要正确处理法理与情理的关系，罪刑相适应原则要求做到罪刑均衡与刑罚个
别化，二者并不矛盾","罪刑相适应原则［C］
［解析］罪刑相适应原则是刑法基本原则之一。其具体要求是，刑罚既要与犯罪性质相适应，又要与犯罪情节相适应，还要与犯罪人的人身危险性相适应。罪刑相适应原则是公平正义理念在刑法领域的具体体现，二者都要求在法律实施中坚持以事实为根据、以法律为准绳。公平正义需要兼顾法理与情理，罪刑相适应原则同样需要兼顾罪刑均衡与刑罚个别化，二者相互吻合，并不矛盾。故A、B、D项正确，均不当选。
《刑法》第63条第2款规定，没有法定减轻处罚情节，但根据案情需要减轻处罚的，必须报请最高人民法院核准，才能减刑。最高人民法院授权下级人民法院随意适用减轻处罚规定的做法，背离法律精神、违背公平正义与罪刑相适应原则。故C项错误，当选。"
