Question,Answer
"第一章 行政法概述
考点1 行政法的基本原则
1.2021回忆/多
某县政府印发《招商引资意见》，允许招商成功后按照实际到位资金的1%给予引介人奖励金。李
某介绍甲公司与县招商局签订投资协议，投资1亿元建设垃圾焚烧厂并运营至今。经李某多次催促，县
政府支付李某10万元后，拒绝支付剩余奖励金，李某不服，提起行政诉讼。下列哪些说法是正确的？
【CD】
A.《招商引资意见》属于具体行政行为
B.李某获得的10万元奖励金可免缴个人所得税
C.县政府拒绝支付剩余奖励金的行为违反了信赖保护原则
D.投资协议履行过程中发生争议的，甲公司可以提起行政诉讼","信赖保护原则；具体行政行为的性质；行政诉讼受案范围；个税免缴［CD］
［解析］相对于具体行政行为，抽象行政行为的特征表现为适用对象的不特定性以及可反复适用性。不特定性是指行为作出之时，该行为想要约束的对象范围不能够明确固定下来。本题中，《招商引资意见》在作出之时，有多少人会介绍企业来当地投资，这个范围不能够明确固定下来，而且《招商引资意见》在有效期内可以反复适用，不管是谁引介投资都可按照这个标准来支付奖励金。可见，《招商引资意见》是抽象行政行为，不是具体行政行为，故A项错误。
根据《个人所得税法》第4条第1款第1项规定，省级人民政府、国务院部委和中国人民解放军军以上单位，以及外国组织、国际组织颁发的科学、教育、技术、文化、卫生、体育、环境保护等方面的奖金，免征个人所得税。本题中，李某获得的是由县政府支付的奖金，不是省级政府颁发的奖金，不能免征个人所得税。故B项错误。
根据诚实守信原则之信赖保护的要求，非因法定事由并经法定程序，行政机关不得撤销、变更已经生效的行政决定。如果确因国家利益、公共利益的需要而必须更改时，除了必须有充分的法律依据并遵循法定程序之外，还应当给予权益受损人补偿。本题中,县政府发布通知承诺给予招商引资介绍人奖励金，但是对于符合奖励条件的李某却不按照允诺标准全额支付奖励金，相当于更改了之前的决定，拒绝履行行政允诺所设定的义务，这种做法违背了信赖保护原则。故C项正确。
甲公司与县招商局签订的投资协议属于行政协议。因行政协议的订立、履行、变更、终止产生的争议，属于行政诉讼受案范围。故D项正确。"
"2.2019回忆/单
马某购买了某市幸福小区的一套商品房，并获得了房屋所有权证。后来，因修建高铁，该小区被拆
迁，市政府依法及时向马某支付了补偿金。这体现了下面哪项行政法原则？ 【C】
A.高效便民
B.程序正当
C.诚实守信
D.权责一致","行政法基本原则［C］
［解析］诚实守信原则中的信赖利益保护原则要求，非因法定事由并经法定程序，行政机关不得撤销、变更已经生效的行政决定；因国家利益、公共利益或者其他法定事由需要撤回或者变更行政决定的，应当依照法定权限和程序进行，并对行政管理相对人因此而受到的财产损失依法予以补偿。本题中，市政府颁发房屋所有权证后，又因公共利益（修建高铁）需要将房屋所有权证撤回，对小区实施拆迁，马某的利益因此受到损失，市政府及时对马某予以补偿，这体现的是信赖利益保护原则，故C项最符合题意，当选。
程序正当原则强调的是作出行政决定要遵守法定程序，市政府进行拆迁补偿必须要遵守法定程序，但本题中没有突出强调程序相关内容，所以B项不符合题意。本题题干虽然表明市政府“及时”支付了补偿金，但这一点并非本题所强调的核心意思，故A项不符合题意。权责一致原则要求行政机关违法或者不当行使职权时，应当依法承担法律责任，实现权力和责任的统一。本题中，因修建高铁而对小区拆迁是合法行为而非违法行为，所以体现的并不是权责一致原则，故D项不符合题意。"
"3.2013/2/76/多 【指2013年/试卷二/第76题/多选——编者注。】
合法行政是行政法的重要原则。下列哪些做法违反了合法行政要求？ 【BC】
A.某规章规定行政机关对行政许可事项进行监督时，不得妨碍被许可人正常的生产经营活动
B.行政机关要求行政处罚听证申请人承担组织听证的费用
C.行政机关将行政强制措施权委托给另一行政机关行使
D.行政机关对行政许可事项进行监督时发现直接关系公共安全、人身健康的重要设备存在安全隐
患，责令停止使用和立即改正","合法行政原则；行政许可的监督检查；许可听证费用的承担；强制措施权的委托［BC］
［解析］合法行政原则是指行政机关行使行政职权、管理公共事务，必须有法律的授权，并依据法律的规定进行，不得与法律相抵触。
《行政许可法》第16条第3款规定，规章可以在上位法设定的行政许可事项范围内，对实施该行政许可作出具体规定。《行政许可法》第63条规定：“行政机关实施监督检查，不得妨碍被许可人正常的生产经营活动，不得索取或者收受被许可人的财物，不得谋取其他利益。”因此，A项中某规章规定行政机关对行政许可事项进行监督时，不得妨碍被许可人正常的生产经营活动，符合合法行政要求。
《行政处罚法》第63条第2款规定，当事人不承担行政机关组织听证的费用。因此，B项中行政机关要求行政处罚听证申请人承担组织听证的费用，不符合合法行政要求，为应选项。
《行政强制法》第17条第1款规定：“行政强制措施由法律、法规规定的行政机关在法定职权范围内实施。行政强制措施权不得委托。”因此，C项中行政机关将行政强制措施权委托给另一行政机关行使的内容违反了这一规定，不符合合法行政要求，为应选项。
《行政许可法》第68条第2款规定：“行政机关在监督检查时，发现直接关系公共安全、人身健康、生命财产安全的重要设备、设施存在安全隐患的，应当责令停止建造、安装和使用，并责令设计、建造、安装和使用单位立即改正。”因此，D项的内容与此相符，符合合法行政要求。
法条变更：《中华人民共和国行政处罚法》2021年1月22日第十三届全国人民代表大会常务委员会第二十五次会议修订，自2021年7月15日起施行"
"4.2012/2/78/多
合理行政是依法行政的基本要求之一。下列哪些做法体现了合理行政的要求？ 【BC】
A.行政机关在作出重要决定时充分听取公众的意见
B.行政机关要平等对待行政管理相对人
C.行政机关行使裁量权所采取的措施符合法律目的
D.非因法定事由并经法定程序，行政机关不得撤销已生效的行政决定","合理行政原则［BC］
［解析］合理行政原则是指所有的行政活动，尤其是行政机关有裁量权的活动，都必须符合理性。具体而言包括：第一，公平公正原则。要平等对待所有行政相对人，不偏私、不歧视。相同情况，相同对待；不同情况，差别对待。第二，考虑相关因素原则。作出行政决定和进行行政裁量，只能考虑符合立法授权目的的各种因素，不得考虑不相关因素。第三，比例原则。具体又包括三项子原则：其一，目的性原则，即行政机关的活动要符合法律的目的。其二，必要性原则，即行政机关采取的措施和手段应当必要、适当。其三，相称性原则，即行政机关实行行政管理有多种手段可选择时，应当避免采用损害行政相对人权益的方式。如果为达致行政目的必须对相对人的权益形成不利影响，那么这种不利影响应当被限制在尽可能小的范围和限度内，并且两者应当处于适当的比例之中。
本题中，B项是公平公正原则的体现，C项是比例原则的体现。而A项中行政机关在作出重要决定时充分听取公众的意见是程序正当原则的体现，D项中非因法定事由并经法定程序，行政机关不得撤销已生效的行政决定是诚实守信原则的体现。故B、C项正确。"
"5.2011/2/78/多
依法行政是法治国家对政府行政活动提出的基本要求，而合法行政则是依法行政的根本。下列哪些
做法违反合法行政的要求？ 【ACD】
A.因蔬菜价格上涨销路看好，某镇政府要求村民拔掉麦子改种蔬菜
B.为解决残疾人就业难，某市政府发布《促进残疾人就业指导意见》，对录用残疾人达一定数量的
企业予以奖励
C.孙某受他人胁迫而殴打他人致轻微伤，某公安局决定对孙某从轻处罚
D.某市政府发布文件规定，外地物流公司到本地运输货物，应事前得到当地交通管理部门的准
许，并缴纳道路特别通行费","合法行政原则；行政指导；治安管理处罚；行政许可［ACD］
［解析］合法行政原则要求行政机关采取行政措施必须有法律的明确授权，没有立法性规定的授权，行政机关不得采取影响公民、法人和其他组织权利义务的行政措施。A项中某镇政府要求村民拔掉麦子改种蔬菜，这实质上是用行政命令干预村民的农业生产自由，侵犯了村民对麦子享有的合法的财产权，违反了合法行政原则中“行政机关应当依照法律授权活动”的要求。故A项当选。
B项中，某市政府发布《促进残疾人就业指导意见》，对录用残疾人达一定数量的企业予以奖励，这属于没有强制性的行政指导，用奖励驱动的方式引导相对人的行为，符合合法行政原则的要求，对于解决残疾人就业难的问题具有积极意义。故B项不当选。
《行政处罚法》第32条规定：“当事人有下列情形之一的，应当从轻或者减轻行政处罚：……（二）受他人胁迫或者诱骗实施违法行为的；……”而《治安管理处罚法》第19条规定：“违反治安管理有下列情形之一的，减轻处罚或者不予处罚：（一）情节特别轻微的；……（三）出于他人胁迫或者诱骗的；……”由此可知，同样是受他人胁迫而从事违法行为，治安管理处罚案件与其他一般行政处罚案件的处罚适用规则是不同的。因为《行政处罚法》是一般法，而《治安管理处罚法》是特别法，对于同一情形两者都作出具体规定的，应适用特别法《治安管理处罚法》的规定。因此，孙某受他人胁迫而殴打他人，且情节特别轻微，公安局应当对其减轻处罚或不予处罚，而不是从轻处罚。C项违反了治安管理处罚的适用规则。故C项当选。
《行政许可法》第14、15条规定，只有法律、法规、省级政府规章有行政许可设定权，其他规范性文件一律不得设定行政许可。此外，该文件所“设定”的行政许可的内容也是不合法的，根据《行政许可法》第15条第2款规定，设定的行政许可，不得限制其他地区的个人或者企业到本地区从事生产经营和提供服务，不得限制其他地区的商品进入本地区市场。D项中某市政府实际上是通过非法设定行政许可，达到限制外地物流公司到本地运输货物的目的，这是一种基于地方保护主义的限制竞争行为，是违反法律规定的。故D项当选。"
"6.2013/2/78/多
某县政府发布通知，对直接介绍外地企业到本县投资的单位和个人按照投资项目实际到位资金金额
的千分之一奖励。经张某引荐，某外地企业到该县投资500万元，但县政府拒绝支付奖励金。县政府的
行为不违反下列哪些原则或要求？ 【ABCD】
A.比例原则
B.行政公开
C.程序正当
D.权责一致","行政法的基本原则［ABCD］
［解析］诚实信用是行政法中一个非常重要的原则。其中，诚实要求行政机关发布的所有信息必须是全面、准确和真实的。而信用的要求主要体现在以下三个方面：一是非因法定事由并经法定程序，行政机关不得撤销、变更已经生效的行政决定。二是因国家利益、公共利益或者其他法定事由需要撤回或者变更行政决定的，应当依照法定权限和程序进行，并对行政相对人因此受到的信赖利益损失依法予以补偿。三是行政机关违反法定程序或非因法定事由违法撤销已经生效的行政决定，对行政相对人因此受到的财产损失应依法予以赔偿。
本案中，县政府作出决定要对招商引资有成绩的单位和个人进行奖励，该决定已经生效并具备了法律效力，非因法定事由并经法定程序不得随意撤销、变更。张某正是基于对县政府奖励承诺的信赖，引荐了500万元的投资，县政府应当恪守承诺向张某兑现奖励规定。但县政府最终拒绝奖励的行为严重违背了诚实信用原则中的信赖保护要求，侵害了张某的信赖利益。故A、B、C、D项错误。"
"7.2012/2/76/多
执法为民是社会主义法治的本质要求，行政机关和公务员在行政执法中应当自觉践行。下列哪些做
法直接体现了执法为民理念？ 【BCD】
A.行政机关将行政许可申请书格式文本的费用由2元降为1元
B.行政机关安排工作人员主动为前来办事的人员提供咨询
C.工商局 【2018年和2023年国家机构改革后部分国家机构名称有所调整，只要对试题的理解和
作答没有影响的，本书均原汁原味地予以保留；有影响的，本书根据现行机构名称予以调整。】 要求
所属机构提高办事效率，将原20工作日办结事项减至15工作日办结
D.某区设立办事大厅，要求相关执法部门进驻并设立办事窗口","行政许可；执法为民［BCD］
［解析］《行政许可法》第58条第2款的规定：“行政机关提供行政许可申请书格式文本，不得收费。”故A项错误。
B项中的主动提供咨询是行政许可机关的法定义务，C项中的缩短工作期限体现了高效便民基本原则的要求，D项则反映了行政许可中的集中办理、联合办理程序，这三项均直接体现了执法为民理念。故B、C、D项正确。"
"8.2012/2/77/多
程序正当是行政法的基本原则。下列哪些选项是程序正当要求的体现？ 【AD】
A.实施行政管理活动，注意听取公民、法人或其他组织的意见
B.对因违法行政给当事人造成的损失主动进行赔偿
C.严格在法律授权的范围内实施行政管理活动
D.行政执法中要求与其管理事项有利害关系的公务员回避","程序正当原则［AD］
［解析］程序正当原则是指行政机关进行行政行为，应当遵循正当的程序。具体包括以下三个方面的内容：第一，行政公开原则。行政机关实施行政管理，除涉及国家秘密和依法受到保护的商业秘密、个人隐私外，应当公开。第二，公众参与原则。行政机关在行政管理过程中，应当听取公民、法人和其他组织的意见。特别是对行政管理相对人作出不利的规定或者决定时，更要严格遵循法定程序，依法保障行政管理相对人的参与权。第三，回避原则。行政机关工作人员履行职责，与行政管理相对人存在利害关系时，应当回避。
A项体现了程序正当原则中公众参与的要求，D项体现了程序正当原则中回避原则的要求。B项中对因违法行政给当事人造成的损失主动进行赔偿是权责统一原则的体现，C项中严格在法律授权的范围内实施行政管理活动是合法行政原则中法律保留要求的体现。故A、D项正确。"
"9.2014/2/76/多
高效便民是行政管理的基本要求，是服务型政府的具体体现。下列哪些选项体现了这一要求？
【AC】
A.简化行政机关内部办理行政许可流程
B.非因法定事由并经法定程序，行政机关不得撤回和变更已生效的行政许可
C.对办理行政许可的当事人提出的问题给予及时、耐心的答复
D.对违法实施行政许可给当事人造成侵害的执法人员予以责任追究","高效便民原则［AC］
［解析］高效便民原则是指行政机关能够依法高效率、高效益地行使职权，最大限度地方便人民群众。其包括行政效率原则和便利当事人原则。A项中简化行政机关内部办理行政许可流程，有利于提高行政许可的办理效率，减少不合理延迟的情况，符合行政效率原则。C项中对办理行政许可的当事人提出的问题给予及时、耐心的答复，是在积极履行自己的行政职责，而且也是为相对人提供便利，帮助其解决问题，符合行政效率原则和便利当事人原则。故A、C项当选。
B项中非因法定事由并经法定程序，行政机关不得撤回和变更已生效的行政许可，是对相对人信赖利益的保护，因而体现的是信赖利益保护原则。D项中对违法实施行政许可给当事人造成侵害的执法人员予以责任追究，强调行政主体应对自己作出的行政行为负责，当其违法或者不当行使职权时就应当承担相应的法律责任，体现的是权责统一原则。故B、D项不当选。"
"10.2014/2/78/多
廖某在某镇沿街路边搭建小棚经营杂货，县建设局下发限期拆除通知后强制拆除，并对廖某作出罚
款2万元的处罚。廖某起诉，法院审理认为廖某所建小棚未占用主干道，其违法行为没有严重到既需要
拆除又需要实施顶格处罚的程度，判决将罚款改为1000元。法院判决适用了下列哪些原则？ 【BC】
A.行政公开
B.比例原则
C.合理行政
D.诚实守信","行政法基本原则［BC］
［解析］本题考查了合理行政中的比例原则。比例原则要求行政行为要具有适当性，是指行政机关所选择的具体措施和手段应当为法律所必需，结果和手段之间存在着正当性。同时还要求损害最小，是指行政机关在可以采用多种方式实现某一行政目的的情况下，应当采用对当事人权益损害最小的方式。本案中，廖某所建小棚未占用主干道，其违法行为没有严重到既需要拆除又需要实施顶格处罚的程度，而县建设局下发限期拆除通知后强制拆除，并对廖某作出罚款2万元的处罚，可见，县建设局的行为既不适当，也不是对当事人损害最小，明显违反了合理行政原则和比例原则的要求。故B、C项正确。"
