Question,Answer
"第一编 总论
第一章 刑事诉讼法概述
考点1 刑事诉讼法与刑法的关系
1.2016/2/64/多 【指2016年/试卷二/第64题/多选——编者注。】
刑事诉讼法的独立价值之一是具有影响刑事实体法实现的功能。下列哪些选项体现了这一功能？
【ABD】
A.被告人与被害人达成刑事和解而被法院量刑时从轻处理
B.因排除犯罪嫌疑人的口供，检察院作出证据不足不起诉的决定
C.侦查机关对于已超过追诉期限的案件不予立案
D.只有被告人一方上诉的案件，二审法院判决时不得对被告人判处重于原判的刑罚","刑事诉讼法与刑法的关系；刑事诉讼法的独立价值［ABD］
［解析］依据刑事诉讼法定和正当程序的理念，刑事实体法需要通过法律程序来实施。然而，刑事诉讼法并非实施刑事实体法的被动的“服务器”，而是在启动或终结实施刑事实体法活动方面扮演着十分积极的角色。比如，依照不告不理原则，如果没有控诉机关或人员起诉，就不能对现实中的犯罪行为适用刑事实体法；当出现了某些法定情形时，就要结束适用刑事实体法的程序，而不能适用刑事实体法；对同一案件，如果选择不同的刑事程序，适用刑事实体法的结果可能会不同。
A项中“被告人与被害人达成刑事和解而被法院量刑时从轻处理”与D项“只有被告人一方上诉的案件，二审法院判决时不得对被告人判处重于原判的刑罚”体现了对同一案件，如果选择不同的刑事程序，适用刑事实体法的结果可能会不同。B项“因排除犯罪嫌疑人的口供，检察院作出证据不足不起诉的决定”体现了当出现了某些法定情形时，就要结束适用刑事实体法的程序，而不能适用刑事实体法。C项超过追诉期限，是根据刑事实体法的要求而不再追究刑事责任的，因此刑事诉讼法作出相应的不立案处理，并没有体现出刑事诉讼法影响、制约刑事实体法的独立价值。故A、B、D项正确，C项错误。"
"考点2 刑事诉讼的基本理念和范畴
2.2017/2/22/单
关于我国刑事诉讼构造，下列哪一选项是正确的？ 【D】
A.自诉案件审理程序适用当事人主义诉讼构造
B.被告人认罪案件审理程序中不存在控辩对抗
C.侦查程序已形成控辩审三方构造
D.审查起诉程序中只存在控辩关系","刑事诉讼构造［D］
［解析］刑事诉讼构造是指刑事诉讼法所确立的进行刑事诉讼的基本方式以及专门机关、诉讼参与人在刑事诉讼中形成的法律关系的基本格局，它集中体现为控诉、辩护、审判三方在刑事诉讼中的地位及其相互间的法律关系。
当事人主义诉讼将开始和推动诉讼的主动权委于当事人，控诉、辩护双方当事人在诉讼中居于主导地位。英美法系国家主要采用当事人主义诉讼模式，而我国不论公诉案件还是自诉案件都是采用在职权主义基础上吸收当事人主义的诉讼构造。我国的自诉案件不适用当事人主义诉讼构造，主要是由被害人向法院控告，由法官主导诉讼进程。故A项错误。
《刑诉解释》第278条第1款规定：“对被告人认罪的案件，在确认被告人了解起诉书指控的犯罪事实和罪名，自愿认罪且知悉认罪的法律后果后，法庭调查可以主要围绕量刑和其他有争议的问题进行。”即被告人认罪案件审理中，控辩双方仍然可以对量刑和其他有争议的问题进行抗辩。故B项错误。
综合我国刑事诉讼的总体情况，我国侦查程序目前仍然缺乏审判主体居中介入，尚未形成控辩审三方构造。故C项错误。同样，在我国的审前程序中，除了侦查程序以外，审查起诉程序同样没有审判主体的介入，仍然只存在控方和辩方双重主体，只存在控辩关系。故D 项正确。"
"3.2015/2/22/单
关于刑事诉讼价值的理解，下列哪一选项是错误的？ 【C】
A.公正在刑事诉讼价值中居于核心的地位
B.通过刑事程序规范国家刑事司法权的行使，是秩序价值的重要内容
C.效益价值属刑事诉讼法的工具价值，而不属刑事诉讼法的独立价值
D.适用强制措施遵循比例原则是公正价值的应有之义","刑事诉讼价值［C］
［解析］公正在刑事诉讼价值中居于核心的地位。刑事诉讼公正价值包括实体公正和程序公正两方面。程序公正是指程序本身符合特定的公正标准，如强制措施的适用应当适度等。故A、D项正确，不当选。
刑事诉讼秩序价值包括两方面含义：一是通过惩治犯罪，维护社会秩序，即恢复被犯罪破坏的社会秩序及预防社会秩序被犯罪所破坏；二是使追究犯罪的活动是有序的。国家刑事司法权的行使，必须受到刑事程序的规范。故B项正确，不当选。
刑事诉讼秩序、公正、效益价值是通过刑事诉讼法的制定和实施来实现的。一方面，刑事诉讼法保证刑法的正确实施，实现秩序、公正、效益价值，这是刑事诉讼法的工具价值；另一方面，刑事诉讼法的制定和适用本身也在实现着秩序、公正、效益价值，这是刑事诉讼法的独立价值。故C项错误，当选。"
"4.2014/2/22/单
社会主义法治公平正义的实现，应当高度重视程序的约束作用，避免法治活动的任意性和随意化。
据此，下列哪一说法是正确的？ 【B】
A.程序公正是实体公正的保障，只要程序公正就能实现实体公正
B.刑事程序的公开与透明有助于发挥程序的约束作用
C.为实现程序的约束作用，违反法定程序收集的证据均应予以排除
D.对复杂程度不同的案件进行程序上的繁简分流会限制程序的约束作用","程序公正与实体公正的关系［B］
［解析］诉讼公正，包括实体公正和程序公正两个方面。实体公正，即结果公正，指案件实体的处理结果所体现的公正。程序公正，是指诉讼程序方面体现的公正。实体公正和程序公正各自都有独立的内涵和标准，不仅不能互相代替，而且应当并重。一方面，程序公正保障实体公正的实现；另一方面，程序公正具有独立的价值。A项前半句是正确的。但是，程序公正不一定就能够实现实体公正，因此，A项后半句是错误的。故A项错误。
刑事程序的公开和透明，可以让当事人以及社会监督刑事程序的运行，因而有助于发挥程序的约束作用。故B项正确。
依据我国《刑事诉讼法》和司法解释的规定，违反法定程序收集的证据并非都应予以排除，有的瑕疵证据经过合理解释或者补正后，可以作为定案依据。故C项错误。
对复杂程度不同的案件进行程序上的繁简分流，有利于提高诉讼效率，将司法资源进行有效的配置，进而发挥程序的约束作用。故D项错误。"
"5.2014/2/24/单
关于刑事诉讼构造，下列哪一选项是正确的？ 【C】
A.刑事诉讼价值观决定了刑事诉讼构造
B.混合式诉讼构造是当事人主义吸收职权主义的因素形成的
C.职权主义诉讼构造适用于实体真实的诉讼目的
D.当事人主义诉讼构造与控制犯罪是矛盾的","刑事诉讼构造［C］
［解析］刑事诉讼价值观会对刑事诉讼构造产生深刻的影响，但不是决定刑事诉讼构造的唯一因素，刑事诉讼构造还受到其他诸多因素的影响。故A项错误。
混合式诉讼构造可能是当事人主义吸收职权主义的因素形成的，也可能是职权主义吸收当事人主义的因素形成的。故B项错误。
职权主义诉讼构造将诉讼的主动权委于国家专门机关，一般认为适用于实体真实的诉讼目的。故C项正确。
当事人主义诉讼构造将开始和推动诉讼的主动权委于当事人，控诉、辩护双方当事人在诉讼中居于主导地位，适用于程序上保障人权的诉讼目的，但其本身也具有控制犯罪的一般功能，因此不能认为当事人主义诉讼构造与控制犯罪是矛盾的。故D项错误。"
"6.2014/2/64/多
关于“宪法是静态的刑事诉讼法、刑事诉讼法是动态的宪法”，下列哪些选项是正确的？ 【ABC】
A.有关刑事诉讼的程序性条款，构成各国宪法中关于人权保障条款的核心
B.刑事诉讼法关于强制措施的适用权限、条件、程序与辩护等规定，都直接体现了宪法关于公民人
身、住宅、财产不受非法逮捕、搜查、扣押以及被告人有权获得辩护等规定的精神
C.刑事诉讼法规范和限制了国家权力，保障了公民享有宪法规定的基本人权和自由
D.宪法关于人权保障的条款，都要通过刑事诉讼法保证刑法的实施来实现","宪法与刑事诉讼法的关系［ABC］
［解析］有关刑事诉讼的程序性条款在宪法条文中具有重要地位。这些体现法治理念的有关刑事诉讼的程序性条款，构成了各国宪法或者宪法性文件中关于人权保障条款的核心。故A项正确。
各国刑事诉讼法律规范中有关强制措施的适用权限、条件、程序、羁押期限、辩护、侦查、审判的原则和程序等规定，都直接体现了宪法或者宪法性文件关于公民人身、住宅、财产不受非法搜查、逮捕、扣押以及犯罪嫌疑人、被告人有权获得辩护等规定的精神。故B项正确。
由于刑事诉讼法规范和限制了国家权力，因而成为保障公民基本人权和自由的基石。故C项正确。
宪法的许多规定，一方面要通过刑事诉讼法保证刑法的实施来实现；另一方面要通过刑事诉讼法本身的实施来实现。故D项错误。"
"7.2013/2/22/单
在刑事司法实践中坚持不偏不倚、不枉不纵、秉公执法原则，反映了我国刑事诉讼“惩罚犯罪与保
障人权并重”的理论观点。如果有观点认为“司法机关注重发现案件真相的立足点是防止无辜者被错误定
罪”，该观点属于下列哪一种学说？ 【D】
A.正当程序主义
B.形式真实发现主义
C.积极实体真实主义
D.消极实体真实主义","刑事诉讼的目的［D］
［解析］正当程序主义是指刑事诉讼目的重在维护正当程序。正当程序主义认为，案件的真实是存在于诉讼程序之外的，刑事诉讼的目的就是通过正当的法律程序来接近客观事实，只有依正当程序认定的事实才能视为真实。本题题干涉及了实体问题，但是没有涉及程序问题。故A项错误。
形式真实发现主义是关于证据认定方面的理论，不是关于诉讼目的方面的理论。故B项错误。
实体真实主义可以分为积极实体真实主义和消极实体真实主义。传统的实体真实主义仅指前者，认为凡是出现了犯罪，就应当毫无遗漏地加以发现、认定并予以处罚；为不使一个犯罪人逃脱，刑事程序以发现真相为要。消极实体真实主义是将发现真实与保障无辜相联系的目的观，认为刑事诉讼目的在于发现实体真实，本身应包含力求避免处罚无罪者的意思，而不单纯是无遗漏地处罚任何一个犯罪者。本题中“司法机关注重发现案件真相的立足点是防止无辜者被错误定罪”这一观点的重点在于防止无辜者被错误定罪，体现了消极实体真实主义的理念。故C项错误，D项正确。"
"8.2013/2/23/单
在刑事诉讼中，法官消极中立，通过当事人举证、辩论发现事实真相，并由当事人推动诉讼进程。
这种诉讼构造属于下列哪一种类型？ 【B】
A.职权主义
B.当事人主义
C.纠问主义
D.混合主义","刑事诉讼构造［B］
［解析］刑事诉讼构造是指刑事诉讼法所确立的进行刑事诉讼活动的基本方式以及专门机关、诉讼参与人在刑事诉讼形成的法律关系的基本格局，其实质和核心问题是如何配置控诉、辩护、审判三方在刑事诉讼中的法律地位及其相互关系。
职权主义审判模式，又称纠问式审判模式，是指法官居于主导和控制地位，限制控辩双方积极性的审判模式。职权主义审判模式有以下三个特征：（1）法官居于中心地位，主导法庭审理的进行。法官不仅仅是一个裁判者，而且是一个积极的事实调查者。（2）控辩双方的积极性受到抑制，处于消极被动的地位。（3）法官掌握程序控制权。控辩双方要服从法官的安排和指挥。庭审通常按法官事先制订的计划进行，而法官如果认为有必要，则可临时改变事先确定的案件事实和证据的调查范围。
当事人主义审判模式，又称对抗制审判模式、抗辩式审判模式，是指法官（陪审团）居于中立且被动的裁判者地位，法庭审判的进行由控方的举证和辩方的反驳共同推动和控制的一种审判模式。当事人主义审判模式有三个基本特征：（1）法官消极中立。法官对于案件事实的调查持消极态度，即不主动查明案件事实。（2）控辩双方积极主动和平等对抗。（3）控辩双方共同控制法庭审理的进程。
混合主义审判模式，融合了当事人主义审判模式和职权主义审判模式的长处，既重视法官的审判指挥和裁决功能，又重视控辩双方的积极对抗。
本题中，“法官消极中立，通过当事人举证、辩论发现事实真相，并由当事人推动诉讼进程”应当属于当事人主义的特点。故B项正确。"
"9.2012/2/22/单
关于《刑事诉讼法》“尊重和保障人权，保护公民的人身权利、财产权利、民主权利和其他权利”的
规定，下列哪一选项是正确的？ 【A】
A.体现了以人为本、保障和维护公民基本权利和自由的理念
B.体现了犯罪嫌疑人、被告人权利至上的理念
C.体现了实体公正与程序公正并重的理念
D.体现了公正优先、兼顾效率的理念","刑事诉讼的基本理念［A］
［解析］维护社会主义法制，尊重和保障人权，保护公民人身权利、财产权利、民主权利和其他权利，保障社会主义建设事业的顺利进行，这是刑事诉讼法的根本任务，也是宪法所保障的公民基本权利在刑事领域的充分体现。故A项正确。
在我国诉讼理论界一般认为，惩罚犯罪与保障人权并重，只强调惩罚犯罪，忽视保障人权，势必导致藐视法制、违反程序、刑讯逼供、滥捕滥杀，造成较高的错案率，最终既不能保障人权，也不能准确有效地惩罚犯罪；反之，只强调保障人权，忽视惩罚犯罪，势必放纵犯罪，社会秩序稳定难以实现，同样也不利于实现刑事诉讼法的根本目的。因此，为了实现控辩双方的平等对抗，公权力机关应当保障犯罪嫌疑人、被告人的权利，但这不意味着犯罪嫌疑人、被告人权利至上。故B项错误。
“尊重和保障人权”并未体现实体公正与程序公正并重的理念，以及公正优先、兼顾效率的理念。故C、D项错误。"
"10.2012/2/23/单
甲发现自家优质甜瓜常被人夜里偷走，怀疑乙所为。某夜，甲带上荧光恐怖面具，在乙偷瓜时突然
怪叫，乙受到惊吓精神失常。甲后悔不已，主动承担乙的治疗费用。公安机关以涉嫌过失致人重伤将甲
拘留，乙父母向公安机关表示已谅解甲，希望不追究甲的责任。在公安机关主持下，乙父母与甲签订和
解协议，公安机关将案件移送检察院并提出从宽处理建议。下列社会主义法治理念和刑事诉讼理念的概
括，哪一选项与本案处理相一致？ 【A】
A.既要充分发挥司法功能，又要构建多元化的矛盾纠纷化解机制
B.既要坚持法律面前人人平等，又要考虑对特殊群体区别对待
C.既要追求公平正义，又要兼顾诉讼效率
D.既要高度重视程序的约束作用，又不应忽略实体公正","公平正义的基本理念［A］
［解析］公平正义的基本理念要求必须正确处理司法与其他社会纠纷解决手段的关系，在社会矛盾和纠纷的解决中，恰当地发挥司法的功能，克服过度依赖司法、过多依靠裁判的偏向，把有限的司法资源运用于维护和实现公平正义的关键环节，广泛调动各种社会力量，构建多元化的社会矛盾纠纷化解机制，运用多方面社会资源解决矛盾和纠纷。
刑事和解不同于传统的公诉案件办案方式，在当事人和解程序中，国家通过其刑罚权的部分退让，促使加害人与被害人通过和解方式化解他们之间的刑事纠纷，并在此基础上处理刑事案件。
根据题目所给信息分析，公安机关在处理甲乙之间纠纷时，既坚持了正确履行其刑事立案、侦查功能，同时又综合衡量甲乙双方利益，从而作出既符合社会公平正义理念基本要求又不违背刑事诉讼理念的决定，故A项正确。
甲并非特殊群体，故B项错误。C项的错误在于，刑事和解并非追求诉讼效率的体现。另外，此案的处理与“兼顾程序和实体公正的理念”联系不大，故D项错误。"
