Question,Answer
"第一章 公司法
第一节 公司法概述
考点1 公司的分类
1.2021回忆/任
通程公司设立了两家分公司甲分公司和乙分公司。在经营过程中，甲分公司为业务伙伴丙公司向丁
公司提供担保，未经通程公司同意，自行以自己的名义签订了担保协议。在签订担保协议之前，甲分公
司如实向丁公司说明了情况，丁公司未提出异议。乙分公司以自己的名义与戊公司签订了货物买卖协
议。对此，下列说法正确的是： 【AC】
A.甲分公司以自己的名义签订的担保协议无效
B.丙公司无法偿债时，丁公司可要求通程公司承担担保责任
C.乙分公司签订的买卖协议对通程公司具有法律效力
D.戊公司须先向乙分公司主张合同责任才可向通程公司主张责任","分公司；公司担保［AC］
［解析］《民法典担保制度解释》第11条1款规定：“公司的分支机构未经公司股东（大）会或者董事会决议以自己的名义对外提供担保，相对人请求公司或者其分支机构承担担保责任的，人民法院不予支持，但是相对人不知道且不应当知道分支机构对外提供担保未经公司决议程序的除外。”据此，甲分公司以自己的名义签订的担保协议系越权担保，丁公司对此知情，非属善意，因此该担保协议无效。故A项正确，B项错误。
根据《民法典》第74条规定，法人分支机构以自己的名义从事民事活动，产生的民事责任由法人承担；也可以先以该分支机构管理的财产承担，不足承担的，由法人承担。据此，本题中，乙分公司有权以自己的名义与戊公司签订货物买卖协议，该协议有效，但产生的民事责任应由通程公司承担，故C项正确。债权人戊公司可以选择直接要求总公司承担合同责任，也可以选择先以分公司管理的财产承担责任再行向总公司追偿，而非必须先向分公司主张责任，故D项错误。"
"2.2017/3/25/单 【指2017年/试卷三/第25题/单选——编者注。】
植根农业是北方省份一家从事农产品加工的公司。为拓宽市场，该公司在南方某省分别设立甲分公
司与乙分公司。关于分公司的法律地位与责任，下列哪一选项是错误的？ 【D】
A.甲分公司的负责人在分公司经营范围内，当然享有以植根公司名义对外签订合同的权利
B.植根公司的债权人在植根公司直接管理的财产不能清偿债务时，可主张强制执行各分公司的财产
C.甲分公司的债权人在甲分公司直接管理的财产不能清偿债务时，可主张强制执行植根公司的财产
D.乙分公司的债权人在乙分公司直接管理的财产不能清偿债务时，不得主张强制执行甲分公司直
接管理的财产","分公司民事责任承担［D］
［解析］《公司法》第13条第2款规定：“公司可以设立分公司。分公司不具有法人资格，其民事责任由公司承担。”《民法典》第74条规定：“法人可以依法设立分支机构。法律、行政法规规定分支机构应当登记的，依照其规定。分支机构以自己的名义从事民事活动，产生的民事责任由法人承担；也可以先以该分支机构管理的财产承担，不足以承担的，由法人承担。”
可见，分公司属于总公司的组成部分，没有独立的财产或责任，其实际占有或使用的财产属于总公司财产的一部分。总公司的负债无力偿付的，可以执行各分公司财产；各分公司的负债无力偿付的，可以执行总公司财产。某一分公司的对外债务，如果该分公司管理的财产及总公司直接管理的责任财产仍不能清偿的，法院可执行其他分公司管理的财产，所以B、C项正确，D项错误。
分公司归属于总公司，是总公司的附属机构，分公司在总公司授权的范围内从事经营活动，分公司负责人在授权的经营范围内可以代表公司对外签署合同，故A项正确。
法条变更：《中华人民共和国公司法》2023年12月29日第十四届全国人民代表大会常务委员会第七次会议第二次修订"
"3.2014/3/25/单
玮平公司是一家从事家具贸易的有限责任公司，注册地在北京，股东为张某、刘某、姜某、方某四
人。公司成立两年后，拟设立分公司或子公司以开拓市场。对此，下列哪一表述是正确的？ 【D】
A.在北京市设立分公司，不必申领分公司营业执照
B.在北京市以外设立分公司，须经登记并领取营业执照，且须独立承担民事责任
C.在北京市以外设立分公司，其负责人只能由张某、刘某、姜某、方某中的一人担任
D.在北京市以外设立子公司，即使是全资子公司，亦须独立承担民事责任","分公司与子公司［D］
［解析］《公司法》第38条规定：“公司设立分公司，应当向公司登记机关申请登记，领取营业执照。”据此，无论是在北京还是在外地设立分公司，都必须进行公司登记，领取营业执照，故A项错误。分公司不具备法人资格，不能独立承担民事责任，故B项错误。
关于分公司的负责人，现行法律并无特别规定。公司投资者（股东）与公司经营层可以分开，股东之外的人担任公司经理并非罕见，股东之外的人担任公司分支机构负责人也是常态。所以，无论在北京还是在外地设立分公司，其负责人均可以是股东之外的人，故C项错误。
《公司法》第13条第1款规定：“公司可以设立子公司。子公司具有法人资格，依法独立承担民事责任。”无论在北京还是在外地，无论是否全资子公司，子公司均具备独立法人资格，独立承担责任，故D项正确。"
"4.甲公司欲单独出资设立一家子公司。甲公司的法律顾问就此向公司管理层提供了一份法律意见
书，涉及子公司的设立、组织机构、经营管理、法律责任等方面的问题。请回答第(1)～(3)题。
(1)2010/3/94/任
关于子公司设立问题，下列说法正确的是： 【BD（原答案BCD）】
A.子公司的名称中应当体现甲公司的名称字样
B.子公司的营业地可不同于甲公司的营业地
C.甲公司对子公司的注册资本必须在子公司成立时一次足额缴清
D.子公司的组织形式只能是有限责任公司","子公司的设立［B（原答案为BCD）］
［解析］子公司，是指一定比例以上股份被另一公司持有或通过协议方式受到另一公司实际控制的公司。子公司对应于母公司，虽然子公司受母公司的控制，但其具有以下特点：（1）子公司是具有独立法人地位的企业；（2）有自己的独立名称和公司章程；（3）具有独立的组织机构；（4）以自己的名义进行各类民事经济活动；（5）拥有独立的财产，能够自负盈亏，独立核算，独立承担公司行为所带来的一切后果与责任。子公司享有独立名称权，不需要冠以母公司名称。故A项错误。
对于子公司与母公司营业地，法律并不作限制性规定，属于企业意思自治范围。因此子公司的营业地可不同于甲公司的营业地。故B项正确。
现行《公司法》已经取消了一人有限公司注册资本必须在公司成立时一次足额缴清的规定。故C项错误。
《公司法》第112条第2款规定：“本法第六十条关于只有一个股东的有限责任公司不设股东会的规定，适用于只有一个股东的股份有限公司。”据此，甲公司设立独资子公司的组织形式可以是有限责任公司，也可以是股份有限公司，故D项错误。【旧题新解】2023年新《公司法》全面承认了公司可以只有一个股东，无论有限公司还是股份公司。"
"(2)2010/3/95/任
关于子公司的组织机构与经营管理，下列说法正确的是： 【AB】
A.子公司不设董事会，可任命一名执行董事
B.子公司可自己单独出资再设立一家全资子公司
C.子公司的法定代表人应当由甲公司的法定代表人担任
D.子公司的经营范围不能超过甲公司的经营范围","子公司的组织机构；经营管理［AB］

［解析］根据《公司法》第75条、第128条规定，规模较小或者股东人数较少的有限责任公司和股份有限公司, 可以不设董事会, 设一名董事, 行使董事会的职权。故A项正确。
新《公司法》对全资子公司再设立自己的全资子公司没有限制，故B项正确。
子公司作为独立法人，依法独立承担民事责任，其有权依照法律的规定自主决定公司法定代表人及经营范围等事项，故C、D项错误。"
"(3)2010/3/96/任
关于子公司的财产性质、法律地位、法律责任等问题，下列说法正确的是： 【CD】
A.子公司的财产所有权属于甲公司，但由子公司独立使用
B.当子公司财产不足清偿债务时，甲公司仅对子公司的债务承担补充清偿责任
C.子公司具有独立法人资格
D.子公司进行诉讼活动时以自己的名义进行","子公司的财产性质、法律地位、法律责任［CD］

［解析］《公司法》第13条第1款规定：“公司可以设立子公司。子公司具有法人资格，依法独立承担民事责任。”作为独立法人，子公司有独立的财产权，故A项错误。子公司具有独立法人资格，进行诉讼活动时以自己的名义进行，故C、D项正确。
《公司法》第4条第1款规定：“有限责任公司的股东以其认缴的出资额为限对公司承担责任；股份有限公司的股东以其认购的股份为限对公司承担责任。”甲公司属于子公司的股东，对子公司以其出资额为限承担有限责任。故B项错误。"
"考点2 有限责任原则和公司法人人格否认
5.2020回忆/单
甲公司的两个股东是张某和赵某。张某是控股股东，并派人担任甲公司董事长。后张某将甲公司的
大部分资产无偿调用，并且该笔资金调用在甲公司财务上没有任何体现。待债权人乙公司要求甲公司偿
还货款时，发现甲公司的资产不足以清偿。现债权人乙公司直接起诉张某，请求张某对甲公司债务承担
连带责任。关于本案当事人的诉讼地位，下列哪一选项是正确的？ 【B】
A.乙公司为原告，张某为被告
B.法院应告知乙公司追加甲公司为共同被告
C.法院应告知乙公司追加甲公司为第三人
D.法院裁定不予受理","法人人格否认之诉的诉讼地位［B］
［解析］2019年《全国法院民商事审判工作会议纪要》（《九民纪要》）第13条规定：“人民法院在审理公司人格否认纠纷案件时，应当根据不同情形确定当事人的诉讼地位：（1）债权人对债务人公司享有的债权已经由生效裁判确认，其另行提起公司人格否认诉讼，请求股东对公司债务承担连带责任的，列股东为被告，公司为第三人；（2）债权人对债务人公司享有的债权提起诉讼的同时，一并提起公司人格否认诉讼，请求股东对公司债务承担连带责任的，列公司和股东为共同被告；（3）债权人对债务人公司享有的债权尚未经生效裁判确认，直接提起公司人格否认诉讼，请求公司股东对公司债务承担连带责任的，人民法院应当向债权人释明，告知其追加公司为共同被告。债权人拒绝追加的，人民法院应当裁定驳回起诉。”本题中，债权人乙公司直接起诉股东张某，应适用上述第三种情形，法院应当向乙公司释明，告知其追加甲公司为共同被告，否则裁定驳回起诉。故B项当选。"
"6.2016/3/27/单
零盛公司的两个股东是甲公司和乙公司。甲公司持股70%并派员担任董事长，乙公司持股30%。
后甲公司将零盛公司的资产全部用于甲公司的一个大型投资项目，待债权人丙公司要求零盛公司偿还货
款时，发现零盛公司的资产不足以清偿。关于本案，下列哪一选项是正确的？ 【A】
A.甲公司对丙公司应承担清偿责任
B.甲公司和乙公司按出资比例对丙公司承担清偿责任
C.甲公司和乙公司对丙公司承担连带清偿责任
D.丙公司只能通过零盛公司的破产程序来受偿","公司法人人格否认［A］

［解析］《公司法》第23条第1款规定：“公司股东滥用公司法人独立地位和股东有限责任，逃避债务，严重损害公司债权人利益的，应当对公司债务承担连带责任。”零盛公司控股股东甲公司将零盛公司的资产全部用于甲公司的其他项目，严重影响了零盛公司的偿债能力，因此，甲公司应当对零盛公司的债务承担连带责任。故A项正确。
乙公司未实施滥用公司法人独立地位和股东有限责任的行为，所以乙公司不应承担对丙公司的连带责任，也不承担按份责任。故B、C项错误。
丙公司作为债权人可以依《公司法》第23条起诉滥用公司法人人格的股东，未必只能通过破产程序受偿。故D项错误。"
"第二节 公司的设立
考点3 发起人及发起人责任
7.2016/3/25/单
李某和王某正在磋商物流公司的设立之事。通大公司出卖一批大货车，李某认为物流公司需要，便
以自己的名义与通大公司签订了购买合同，通大公司交付了货车，但尚有150万元车款未收到。后物流
公司未能设立。关于本案，下列哪一说法是正确的？ 【A】
A.通大公司可以向王某提出付款请求
B.通大公司只能请求李某支付车款
C.李某、王某对通大公司的请求各承担50%的责任
D.李某、王某按拟定的出资比例向通大公司承担责任","发起人职责［A］
［解析］《公司法》第44条第2款规定：“公司未成立的，其法律后果由公司设立时的股东承受；设立时的股东为二人以上的，享有连带债权，承担连带债务。”本题中，物流公司未能设立，则全体发起人为合伙性质，设立过程中的所有责任应由全体发起人对外负连带责任。故B、C、D项错误，A项正确。【思路拓展】有关发起人责任问题的分析思路：首先看公司是否成立。第一，如果未成立，由全体发起人对外承担连带责任，之后内部追偿。第二，如果公司成立了，再看题目中涉及的具体情形是合同责任还是侵权责任。（1）涉及合同责任。按照合同相对性，如果是发起人以个人名义签章的，由对方选择签章的发起人或成立后的公司承担合同责任（非连带责任）。如果是以设立中公司的名义签章的，由公司承担责任。例外：若公司能证明发起人是为自己的利益对外签订的合同，且相对人非善意，由发起人承担责任。（2）涉及侵权责任。类比职务行为，由公司对外承担责任，对内向有过错的发起人追偿。"
"8.2011/3/68/多
甲、乙、丙、丁拟设立一家商贸公司，就设立事宜分工负责，其中丙负责租赁公司运营所需仓库。
因公司尚未成立，丙为方便签订合同，遂以自己名义与戊签订仓库租赁合同。关于该租金债务及其责
任，下列哪些表述是正确的？ 【ABC（原答案AB）】
A.无论商贸公司是否成立，戊均可请求丙承担清偿责任
B.商贸公司成立后，如其使用该仓库，戊可请求其承担清偿责任
C.商贸公司成立后，戊即可请求商贸公司承担清偿责任
D.商贸公司成立后，戊即可请求丙和商贸公司承担连带清偿责任","发起人的责任［ABC（原答案为AB）］
［解析］《公司法解释（三）》第2条规定：“发起人为设立公司以自己名义对外签订合同，合同相对人请求该发起人承担合同责任的，人民法院应予支持；公司成立后合同相对人请求公司承担合同责任的，人民法院应予支持。”丙作为发起人为设立公司以自己的名义对外签订合同，无论公司是否成立，戊都可以请求丙承担合同责任。故A项正确。
《民法典》第75条第2款规定：“设立人为设立法人以自己的名义从事民事活动产生的民事责任，第三人有权选择请求法人或者设立人承担。”公司成立后，相对人戊享有选择权，既可以请求商贸公司承担清偿责任，也可以请求由丙承担清偿责任，而不是二者承担连带清偿责任。故B、C项正确，D项错误。
法条变更：《最高人民法院关于适用〈中华人民共和国公司法〉若干问题的规定（三）》根据2020年12月23日最高人民法院审判委员会第1823次会议通过的《最高人民法院关于修改〈最高人民法院关于破产企业国有划拨土地使用权应否列入破产财产等问题的批复〉等二十九件商事类司法解释的决定》第二次修正"
