Question,Answer
"第一编 总则
第一章 民法概述
考点1 民法基本原则
1.2017/3/1/单 【指2017年/试卷三/第1题/单选——编者注。】
甲、乙二人同村，宅基地毗邻。甲的宅基地倚山、地势较低，乙的宅基地在上将其环绕。乙因琐事
与甲多次争吵而郁闷难解，便沿二人宅基地的边界线靠己方一侧，建起高5米围墙，使甲在自家院内却
有身处监牢之感。乙的行为违背民法的下列哪一基本原则？ 【D】
A.自愿原则
B.公平原则
C.平等原则
D.诚信原则","民法基本原则；相邻关系［D］
［解析］本题中，乙享有宅基地使用权，有权依法利用该土地建造住宅及其附属设施，但该权利的行使应当受到相邻关系的限制，不得损害他人的合法权益。《民法典》第7条规定：“民事主体从事民事活动，应当遵循诚信原则，秉持诚实，恪守承诺。”诚信原则主要在以下方面发挥功能：控制权利的行使和义务的履行；情势变更；附随义务的创设；格式条款的内容审查；合同解释；法律解释以及法律漏洞的填补；等等。就“控制权利的行使和义务的履行”这一功能而言，诚信原则设定了行使民事权利的“内在限度”，凡以悖于诚实信用之方式行使民事权利，就有可能被认定为滥用民事权利，由此，禁止权利滥用原则也是诚信原则的子原则。本题中，乙建起高5米围墙，使甲在自家院内却有身处监牢之感，滥用民事权利，损害了相邻权人甲的利益，违反了诚信原则。故D项当选。
法条变更：《中华人民共和国民法典》2020年5月28日第十三届全国人民代表大会第三次会议通过，自2021年1月1日起施行"
"2.2019回忆/单
甲、乙婚后育有一女小花。小花3岁时，甲、乙协议离婚，甲、乙在离婚协议中约定：“离婚后小
花由乙抚养。为保护小花的利益，若乙再婚，再婚后乙不得生育子女。”该约定违背了下列哪一民法原
则？ 【D】
A.自愿原则
B.公平原则
C.诚信原则
D.公序良俗原则","民法基本原则［D］
［解析］《民法典》第5条规定了自愿原则：“民事主体从事民事活动，应当遵循自愿原则，按照自己的意思设立、变更、终止民事法律关系。”本题中，甲、乙间的协议之订立出于双方的自愿，不违反自愿原则。故A项不当选。
《民法典》第6条规定了公平原则：“民事主体从事民事活动，应当遵循公平原则，合理确定各方的权利和义务。”本题中，甲、乙关于限制“纯粹身份利益”的协议，不适用等价有偿规则，无违反公平原则的问题。故B项不当选。
《民法典》第7条规定了诚信原则：“民事主体从事民事活动，应当遵循诚信原则，秉持诚实，恪守承诺。”本题中，甲、乙订立协议的行为重在“创设”民事权利义务，而非“行使”权利与“履行”义务，不涉及诚信原则。故C项不当选。
《民法典》第8条了公序良俗原则：“民事主体从事民事活动，不得违反法律，不得违背公序良俗。”本题中，甲、乙订立的协议，不合理地限制了乙的婚姻自由和生育自由，违反婚姻伦理与家庭伦理，违反善良风俗。故D项当选。"
"考点2 民事法律关系
3.2009/3/1/单
甲被乙家的狗咬伤，要求乙赔偿医药费，乙认为甲被狗咬与自己无关拒绝赔偿。下列哪一选项是正
确的？ 【C】
A.甲乙之间的赔偿关系属于民法所调整的人身关系
B.甲请求乙赔偿的权利属于绝对权
C.甲请求乙赔偿的权利适用诉讼时效
D.乙拒绝赔偿是行使抗辩权","民事法律关系；民事权利［C］
［解析］根据是否直接具有财产或经济内容为标准，民事法律关系分为财产法律关系和人身法律关系。（1）财产法律关系，是指与财产所有和财产流转相联系，具有直接物质利益内容，以财产利益为标的形成的民事法律关系，如物权法律关系和债权法律关系。（2）人身法律关系，是指与民事法律关系主体的人身不可分离，不具有直接物质利益内容，以人格利益或身份利益为标的的民事法律关系，包括人格权法律关系和身份权法律关系。本题中，甲请求乙赔偿人身损害所形成的法律关系，为侵权之债中的损害赔偿法律关系，以请求对方支付赔偿金为权利义务内容，具有直接的财产内容，是典型的财产关系，不属于人身法律关系。故A项错误。
民事权利，依照权利人可以对抗义务人的范围，可分为绝对权与相对权。（1）绝对权，是指义务人为不特定的一般人的权利，权利人可以向一切人主张权利，因而又称为对世权。所有权、人身权、知识产权均属绝对权。（2）相对权，是指义务主体为特定人的权利，权利人只能请求特定人为一定行为，因而又称为对人权。债权是典型的请求权。甲请求乙赔偿的权利属于请求权、对人权、相对权。故B项错误。
债权请求权一般适用诉讼时效，仅《诉讼时效规定》第1条规定的四种债权请求权不适用诉讼时效。《民法典》第188条规定，人身遭受损害的，适用3年普通诉讼时效期间。故C项正确。
所谓抗辩权，是指法律规定的，旨在阻碍请求权行使的权利。抗辩权具有三个特征：（1）法定而非约定，约定的阻碍请求权行使的事由称为抗辩事由，而非抗辩权；（2）功能在于永久或者暂时阻碍请求权行使，但不会使请求权消灭；（3）除不安抗辩权外，一般具有被动性，抗辩权的行使以请求权的行使为前提条件。本题中，乙主张甲对自己不享有请求权，是主张对方的请求权不成立，不属于抗辩权的行使。故D项错误。"
"4.2010/3/1/单
下列哪一情形下，乙的请求依法应得到支持？ 【C】
A.甲应允乙同看演出，但迟到半小时。乙要求甲赔偿损失
B.甲听说某公司股票可能大涨，便告诉乙，乙信以为真大量购进，事后该只股票大跌。乙要求甲赔
偿损失
C.甲与其妻乙约定，如因甲出轨导致离婚，甲应补偿乙50万元，后二人果然因此离婚。乙要求甲
依约赔偿
D.甲对乙承诺，如乙比赛夺冠，乙出国旅游时甲将陪同，后乙果然夺冠，甲失约。乙要求甲承担
赔偿责任","民事法律关系［C］
［解析］A项，甲应允乙同看演出，甲、乙间成立好意施惠关系（情谊关系）。根据民法理论，好意施惠不成立合同关系，乙不得对甲的爽约行为主张违约损害赔偿。好意施惠关系本身虽不排除侵权责任的成立，但须有独立的侵权事实发生，否则，仅一方当事人违反好意施惠中的约定或者承诺，不构成侵权。除爽约外，甲未实施其他侵权行为，因此甲的爽约不构成侵权，乙不得对甲主张侵权损害赔偿。故A项错误。同理，D项也是好意施惠关系。故D项错误。
B项，乙遭受的损失，并非甲侵害乙人身权和财产权给乙造成的“附随经济损失”（如医疗费、修理费），只是甲虽未侵害乙人身权和财产权，但因错误陈述给乙造成的纯粹金钱上的损失，学理上称为“纯粹经济损失”。在我国，对于纯粹经济损失，受害人能否请求加害人承担赔偿责任，分以下两种情况处理：（1）合同关系。若甲、乙间存在合同关系，甲违反合同约定给乙造成纯粹经济损失，则乙可对甲主张违约损害赔偿；此外，若合同一方当事人违反先合同义务（构成缔约过失）或者违反后合同义务给对方造成纯粹经济损失的，受害人也可就遭受的纯粹经济损失获得部分赔偿。（2）侵权关系。原则上，对加害人给受害人造成的纯粹经济损失，受害人不得对加害人主张侵权损害赔偿。但有两个例外：第一，法律明文规定。例如，证券欺诈；又如，甲过失造成乙死亡，导致乙赡养的丙丧失赡养费。丙的赡养费收入损失属于纯粹经济损失，但因法律明文规定可以依照侵权损害赔偿予以救济，故丙可就赡养费收入损失对甲提起侵权损害赔偿（包含于死亡赔偿金之内主张）。第二，加害人故意给受害人造成的纯粹经济损失。例如，甲意欲使乙亏本，故意告知乙虚假的信息，乙依照该信息购买股票遭受重大损失。乙可就遭受的纯粹经济损失对甲主张侵权损失赔偿。本题中，甲、乙间并无合同关系，乙就遭受的纯粹经济损失不能对甲主张违约损害赔偿；同时，甲属于过失虚假陈述，非为故意，且无法律的明确规定，故乙不能就遭受的经济损失对甲主张侵权损害赔偿。故B项错误。
C项涉及“忠诚协议”的效力。夫妻互享配偶权，一方违反忠实义务（出轨）构成对对方配偶权的侵害。一方面，我国《民法典》第1091条将离婚损害赔偿请求权的适用范围限制得比较窄，据此，一方仅实施了“一夜情”或者其他“拈花惹草”的行为，但尚未达到重婚或者与他人同居的程度，则在离婚时无过错方无权对对方主张离婚损害赔偿。另一方面，违反忠实义务的行为又是对对方配偶权的侵害，如果夫妻双方约定若一方出轨导致离婚的，另一方应补偿金钱若干（这个约定就是忠诚协议），原则上应认定该约定有效。也即，无约定的，只能按法定；有约定的，一般予以认可。故C项正确。【特别提醒】以上仅是就“忠诚协议”的效力而言。通说认为，对于夫妻在感情破裂前预先订立的离婚协议，因违背公序良俗而无效，“忠诚协议”是个例外。"
"5.2014/3/1/单
薛某驾车撞死一行人，交警大队确定薛某负全责。鉴于找不到死者亲属，交警大队调处后代权利人
向薛某预收了6万元赔偿费，商定待找到权利人后再行转交。因一直未找到权利人，薛某诉请交警大队
返还6万元。根据社会主义法治理念公平正义要求和相关法律规定，下列哪一表述是正确的？ 【D】
A.薛某是义务人，但无对应权利人，让薛某承担赔偿义务，违反了权利义务相一致的原则
B.交警大队未受损失而保有6万元，形成不当得利，应予退还
C.交警大队代收6万元，依法行使行政职权，与薛某形成合法有效的行政法律关系，无须退还
D.如确实未找到权利人，交警大队代收的6万元为无主财产，应收归国库","权利义务相一致原则；不当得利的成立要件；行政法律关系；无主财产的归属［D］
［解析］所谓权利义务一致的原则，是对于一个主体而言，享有权利一般要履行义务，履行义务一般要享有权利，而薛某履行义务没有具体确定的权利主体，不属于对权利义务相一致原则的违反。故A项错误。
《民法典》第122条规定，因他人没有法律根据，取得不当利益，受损失的人有权请求其返还不当利益。据此，不当得利的构成要件有四：（1）一方取得财产利益；（2）一方受有损失；（3）取得利益与所受损失之间有因果关系；（4）没有法律上的根据。本题中，交警大队只是代收6万元，并未取得财产利益，不构成不当得利。故B项错误。
行政法律关系，是指受行政法律规范调整的因行政行为而形成或产生的各种权利义务关系。行政法律关系的产生往往以行政主体通过行政程序所作出的单方面的行政行为为根据，具有不平等性。本题中，交警大队实际上有两个行为：一是确定交通事故责任的归属，这是行政行为无疑，也看得出明显的不平等性；但是第二个行为，预收赔偿费并商定转交，这并不是行政行为，否则也不会“商定”，这一行为并不会产生行政法律关系。故C项错误。
《民法典》第1160条规定，无人继承又无人受遗赠的遗产，归国家所有。故D项正确。"
"6.2018回忆/单
某宿舍六人在学期开始时约定，在学期结束时由获得奖学金的人请宿舍的人聚餐，在学期结束时甲
乙获得了一等奖学金。六人在学期末如约到酒店就餐，期间甲愤然离席，乙随后也离开了酒店。对此，
下列哪一项说法是正确的？ 【D】
A.甲、乙的行为构成戏谑行为不产生法律关系
B.应由甲、乙平均分担餐费
C.宿舍六人的协议产生了法律关系
D.餐馆应找六人共同承担餐费","好意施惠；戏谑行为；无名合同［D］
［解析］首先，六人关于学期结束获得奖学金者请客的约定，当属道德调整的范围，不产生民事法律关系。因为，自正常人的角度视之，六人作出此约定时的表示，不具有承担法律责任的意图，不构成民法上的意思表示，属于好意施惠性质的表达，故C项错误。其次，基于六人的约定，自身不产生法律关系，如果学期结束后，获得奖学金的甲、乙不请客聚餐，其他同学不得要求甲、乙承担违约责任。但是，甲、乙获得奖学金后，六人已经如约去酒店就餐，此时，对于其他同学而言，已经产生了对于甲、乙请客利益的合理期待，故甲、乙应对此聚餐费用承担法律上的义务，甲、乙中间离开，未如约支付餐费，不是戏谑行为，故A项错误。
六人去餐馆消费，与餐馆之间形成合同关系。我国没有关于消费合同的专门规定，故可参照适用《民法典》总则编、合同编通则及最相类似合同之规定，处理此合同关系。六人作为合同的一方，餐馆作为合同的另一方，属于多数人之债。由于六人的消费行为，并没有与餐馆约定各自承担的份额，《民法典》第178条第3款规定：“连带责任，由法律规定或者当事人约定。”据此，若当事人在合同中约定连带责任的，应当明确约定，否则应当认定为按份责任。但六人之间无论是按份还是连带关系，对于餐馆均应共同承担责任，故D项正确。
如上分析，六人如约去餐馆聚餐的行为，使得甲、乙之外的其他四人产生了合理的利益期待，甲、乙应当对于此次聚餐承担法律上的责任，故餐费的最终责任应当由甲、乙承担。但两者之间具体如何分担，则应视情形而定：若两者不能达成协议，最终应平分餐费；若达成协议，则应按协议分担餐费。故B项错误。【特别提醒】本案中甲、乙最终应承担餐费的原因不是履行合同关系中的义务，因为约定请客吃饭属于好意施惠，不构成法律行为；而是事实上去吃饭的行为自身作为独立的法律事实，导致了其他的损失，进而应当承赔偿责任。"
"7.2019回忆/单
刘某系世界陶艺大师，在接受某电视台采访时，刘某向观众展示他制作的一个精美的五层陶瓷吊球
作品，说目前世界上绝无第二个人能够做出此吊球作品。主持人问，如果有人能做出来呢？刘某说，如
果有人能做出来，我将自己工作室里面的全部艺术品连同房子一起赠送给他，并与主持人击掌为誓。后
来，一陶瓷作品爱好者孙某仿制了该作品，一般无二。孙某主张刘某履行承诺。对于刘某的行为应如何
定性？ 【B】
A.构成法律行为，但显失公平
B.戏谑行为，不构成法律关系
C.赠与合同，但刘某有撤销权
D.悬赏广告，刘某应按承诺履行","民法的调整对象［B］
［解析］构成法律行为，则当事人在表示时，具有承担民事责任的意图。悬赏广告，是法律行为的一种，公告发布时发生效力。要构成民法上的悬赏广告，需要有承担法律责任意图的意思表示。本案中，刘某参加电视采访，本无意发布悬赏广告，只是出于对自己技术的自信，做了一次夸张表达而已，当时其真实的意图应理解为，让主持人相信他当时真的如此认为而已。故此行为当解读为戏谑表示，不构成民事法律关系，故B项正确。"
"考点3 民事权利的分类
8.2008/3/51/多
关于民事权利，下列哪些选项是正确的？ 【ABCD】
A.甲公司与乙银行签订借款合同，乙对甲享有的要求其还款的权利不具有排他性
B.丙公司与丁公司协议，丙不在丁建筑的某楼前建造高于该楼的建筑，丁对丙享有的此项权利具有
支配性
C.债权人要求保证人履行，保证人以债权人未对主债务人提起诉讼或申请仲裁为由拒绝履行，保证
人的此项权利是抗辩权
D.债权人撤销债务人与第三人的赠与合同的权利不受诉讼时效的限制","民事权利［ABCD］
［解析］债权的内容是特定人请求特定人为一定行为或不为一定行为；这与支配权的内容“权利人直接支配一定的利益并排斥他人干涉”不同。所以，支配权具有排他性，同一标的上不能并存两个以上同一内容的支配权；相反债权具有平等性，无排他性，同一标的上可以并存两个以上同一内容的债权请求权，乙请求甲还款的权利为债权。故A项正确。
丁公司在丙公司的土地上设立的是眺望地役权，地役权属于用益物权，是物权、支配权、对世权。故B项正确。须注意：虽然未经登记的地役权不得对抗善意第三人，但未经登记的地役权仍属支配权。对抗与支配不是一回事。
抗辩权，指依照法律的规定，阻碍请求权行使的权利。抗辩权包括两类6种：（1）永久抗辩权（在我国仅指诉讼时效期间经过的抗辩权）；（2）一时抗辩权在我国包括：同时履行抗辩权；顺序履行抗辩权；不安抗辩权；一般保证中保证人的先诉抗辩权；混合担保中（债务人以自己财产设立抵押、质押时）提供担保的第三人的先诉抗辩权。根据《民法典》第687条第2款规定，一般保证的，在债权人未对债务人强制执行无效之前，债权人请求保证人承担保证责任的，保证人享有先诉抗辩权。故C项正确。
《民法典》第541条规定：“撤销权自债权人知道或者应当知道撤销事由之日起一年内行使。自债务人的行为发生之日起五年内没有行使撤销权的，该撤销权消灭。”这里的1年和5年均为除斥期间，不是诉讼时效期间。故D项正确。"
"9.2016/3/1/单
根据法律规定，下列哪一种社会关系应由民法调整？ 【B】
A.甲请求税务机关退还其多缴的个人所得税
B.乙手机丢失后发布寻物启事称：“拾得者送还手机，本人当面酬谢”
C.丙对女友书面承诺：“如我在上海找到工作，则陪你去欧洲旅游”
D.丁作为青年志愿者，定期去福利院做帮工","民法的调整对象［B］
［解析］《民法典》第2条规定：“民法调整平等主体的自然人、法人和非法人组织之间的人身关系和财产关系。”甲属于自然人，税务机关属于行政机关，两者不是平等主体，不属于民法的调整范畴。故A项错误。
寻物启事系悬赏广告，悬赏广告被视为单方法律行为，不需要相对人的承诺就可产生法律效力。根据《民法典》第139条的规定，以公告方式作出的意思表示，公告发布时生效。悬赏广告具有法律约束力，应由民法调整。故B项正确。
有两类典型的不具有法律约束力的民事法律关系：（1）道德领域调整的关系：如恋爱、同事、友谊等关系。（2）好意施惠关系：如①邀请同看演出、比赛或者旅游等；②请客吃饭；③火车过站叫醒；④搭便车；⑤青年志愿者做义工等。C、D项虽然发生在平等主体之间，但属于好意施惠关系，不受民法调整。故C、D项错误。"
"10.2016/3/10/单
甲单独邀请朋友乙到家中吃饭，乙爽快答应并表示一定赴约。甲为此精心准备，还因炒菜被热油烫
伤。但当日乙因其他应酬而未赴约，也未及时告知甲，致使甲准备的饭菜浪费。关于乙对甲的责任，下
列哪一说法是正确的？ 【A】
A.无须承担法律责任
B.应承担违约责任
C.应承担侵权责任
D.应承担缔约过失责任","好意施惠关系［A］
［解析］甲单独邀请朋友乙到家中吃饭属于好意施惠，类似的还有邀请同看演出、搭便车、火车过站叫醒、顺便帮邻居清扫积雪、代投信件等。本题甲邀请朋友乙到家中吃饭属于好意施惠项下的请客吃饭，不存在发生法律效果的意图，不构成民法中的意思表示，不产生民事法律关系。故A项正确，B、C、D项错误。【特别提醒】尽管好意施惠的行为不构成意思表示，不能产生法律关系；但是，如果再出现新的法律事实，则有可能构成其他的法律关系。比如，请人喝酒不请或被请者不赴约，均没有违约责任，但是如果赴约了，在饮酒过程中一方强行劝酒造成另一方的伤害的，则产生侵权法律关系。对于本题而言，甲被烫伤的损害后果，与乙爽约无因果关系，乙主观上亦无过错，故不承担侵权责任；甲遭受饭菜浪费的损失，虽与乙爽约有因果关系，但损害类型为纯粹经济损失，乙主观上可能有过失，但无故意，所以不承担侵权责任。"
