Question,Answer
"第一章 民事诉讼与民事诉讼法
考点1 民事诉讼与民事诉讼法
1.2017/3/95/任 【指2017年/试卷三/第95题/不定项——编者注。】
2015年4月，居住在B市（直辖市）东城区的林剑与居住在B市西城区的钟阳（二人系位于B市北
城区正和钢铁厂的同事）签订了一份借款合同，约定钟阳向林剑借款20万元，月息1%，2017年1月
20日前连本带息一并返还。合同还约定，如因合同履行发生争议，可向B市东城区仲裁委员会仲裁。至
2017年2月，钟阳未能按时履约。2017年3月，二人到正和钢铁厂人民调解委员会（下称调解委员
会）请求调解。调解委员会委派了三位调解员主持该纠纷的调解。如调解委员会调解失败，解决的办法
有： 【ABD】
A.双方自行协商达成和解协议
B.在双方均同意的情况下，要求林剑居住地的街道居委会的人民调解委员会组织调解
C.依据借款合同的约定通过仲裁的方式解决
D.通过诉讼方式解决","民事纠纷解决机制［ABD］
［解析］《民事诉讼法》第53条规定：“双方当事人可以自行和解。”如调解委员会调解失败，双方当事人可以和解方式解决。故A项正确。
《人民调解法》第26条规定：“人民调解员调解纠纷，调解不成的，应当终止调解，并依据有关法律、法规的规定，告知当事人可以依法通过仲裁、行政、司法等途径维护自己的权利。”当事人可以协商一致，共同申请人民调解委员会调解。调解不成，可以告知当事人通过司法途径维护自己的权利。故B、D项正确。
本案中，虽然当事人在合同中约定，如因合同履行发生争议，可向B市东城区仲裁委员会仲裁，但在县和不设区的市没有民商事仲裁机构，所以本案属于约定了根本不存在的仲裁机构，仲裁协议无效，则无法申请仲裁。故C项错误。
法条变更：《中华人民共和国民事诉讼法》根据2023年9月1日第十四届全国人民代表大会常务委员会第五次会议《关于修改〈中华人民共和国民事诉讼法〉的决定》第五次修正"
"2.2011/3/35/单
关于民事诉讼法的性质，下列哪一说法是正确的？ 【C】
A.根据其调整的社会关系，民事诉讼法是程序法
B.根据其在法律体系中的地位，民事诉讼法是程序法
C.根据其规定的内容，民事诉讼法是程序法
D.根据公法与私法的划分标准，民事诉讼法是程序法","民事诉讼法的属性［C］
［解析］根据其调整的社会关系，民事诉讼法是部门法。民事诉讼法调整的是民事诉讼关系，是社会关系中具有自身独立特点的一类社会关系。故A项错误。
根据其在法律体系中的地位，民事诉讼法是基本法，民事诉讼法的效力仅低于宪法。故B项错误。
从民事诉讼法的内容看，它规定的主要是程序问题，因此它属于程序法。故C项正确。根据其规定的内容，民事诉讼法是程序法。根据公法与私法的划分标准，民事诉讼法是公法。故D项错误。"
"第二章 民事诉讼法的基本原则与基本制度
考点2 辩论原则
3.2010/3/88/任
王某与钱某系夫妻，因感情不和王某提起离婚诉讼，一审法院经审理判决不准予离婚。王某不服提
出上诉，二审法院经审理认为应当判决离婚，并对财产分割与子女抚养一并作出判决。关于二审法院的
判决，下列哪些选项违反了《民事诉讼法》的原则或制度？ 【ABC】
A.处分原则
B.辩论原则
C.两审终审制度
D.回避制度","民事诉讼基本原则和制度［ABC］
［解析］正确解答本题的关键在于准确理解一审和二审处理内容的关系。在一审中，王某提起的离婚诉讼本身包含了解除婚姻关系、共同财产的分割以及子女抚养关系的确定，一审法院判决不准离婚。王某不服提出上诉，只能涉及对判决不准予离婚的不同意见，而不会涉及对一审未予判决内容的财产分割与子女抚养问题的上诉，当事人在二审中也就不会就此问题进行辩论，而二审法院对财产分割与子女抚养一并作出判决，不仅违反了处分原则，不当干预了当事人的私权处分，而且也违反了辩论原则。故A、B项正确。
两审终审制度是指某一案件经过两级人民法院审判后即告终结的制度。根据《民诉解释》第327条第1款的规定，一审判决不准离婚的案件，上诉后，第二审人民法院认为应当判决离婚的，可以根据当事人自愿的原则，与子女抚养、财产问题一并调解，调解不成的，发回重审。司法解释之所以作此规定，其目的就在于保证当事人对财产分割与子女抚养问题的上诉权。因此，本题中，二审法院的正确做法应当是根据当事人自愿的原则，与子女抚养、财产问题一并调解，调解不成的，发回重审，而不能直接作出二审判决，否则就侵犯了当事人上诉的权利，违反了民事诉讼法两审终审制度。故C项正确。
回避制度是指审判人员具有法定情形，必须回避，不参与案件审理的制度。本题没有涉及法定的审判人员应回避事项，因此，二审法院并没有违反回避制度。故D项错误。"
"4.2009/3/82/多
关于辩论原则的表述，下列哪些选项是正确的？ 【BD】
A.当事人辩论权的行使仅局限于一审程序中开庭审理的法庭调查和法庭辩论阶段
B.当事人向法院提出起诉状和答辩状是其行使辩论权的一种表现
C.证人出庭陈述证言是证人行使辩论权的一种表现
D.督促程序不适用辩论原则","辩论原则［BD］
［解析］辩论原则是指在人民法院主持下，当事人有权就案件事实和争议问题，各自陈述自己的主张和根据，互相进行反驳和答辩，以维护自己的合法权益。
《民事诉讼法》第12条规定：“人民法院审理民事案件时，当事人有权进行辩论。”辩论的适用贯穿整个民事诉讼审判程序的始终，除执行程序、特别程序、督促程序与公示催告程序外，在一审程序、二审程序和审判监督程序中，都应当贯彻辩论原则，允许当事人行使辩论权。故A项错误。
辩论的形式包括言辞辩论和书面辩论。言辞辩论是主要的辩论形式，主要集中在法庭审理阶段。书面辩论，主要在其他场合进行。当事人向法院提出起诉状和答辩状是以书面方式辩论。故B项正确。
辩论权的行使主体是诉讼当事人，不包括证人。故C项错误。
督促程序是一种非讼程序，在整个程序过程中，只有一方当事人，没有对方当事人，无法辩论，不适用辩论原则。故D项正确。"
"考点3 处分原则
5.2008/3/38/单
甲向法院起诉，要求判决乙返还借款本金2万元。在案件审理中，借款事实得以认定，同时，法院
还查明乙逾期履行还款义务近一年，法院遂根据银行同期定期存款利息，判决乙还甲借款本金2万元，
利息520元。关于法院对该案判决的评论，下列哪一选项是正确的？ 【B】
A.该判决符合法律规定，实事求是，全面保护了权利人的合法权益
B.该判决不符合法律规定，违反了民事诉讼的处分原则
C.该判决不符合法律规定，违反了民事诉讼的辩论原则
D.该判决不符合法律规定，违反了民事诉讼的平等原则","民事诉讼基本原则［B］
［解析］民事诉讼实行“不告不理”原则，尽管事实上乙逾期还款应该偿还利息，但此项请求是否提出是原告自己的权利，法院不能擅自运用公权力站在一方当事人的立场而侵害另一方当事人的权利。故A项错误。
处分原则指民事诉讼当事人有权在法律规定的范围内，处分自己的民事权利和诉讼权利。本案中原告的诉讼请求仅限于要求偿还本金2万元，并没要求偿还利息，但法院却超过原告诉讼请求，判决偿还本金和利息，违反了处分原则。故B项正确。
辩论原则指在法院主持下，当事人有权就案件事实和争议问题陈述、反驳对方，进行答辩，以维护自己的合法权益。本题案件事实不涉及辩论原则。故C项错误。
本题不涉及平等原则，D项错误。"
"考点4 诚信原则
6.2014/3/37/单
根据《民事诉讼法》规定的诚信原则的基本精神，下列哪一选项符合诚信原则？ 【C】
A.当事人以欺骗的方法形成不正当诉讼状态
B.证人故意提供虚假证言
C.法院根据案件审理情况对当事人提供的证据不予采信
D.法院对当事人提出的证据任意进行取舍或否定","诚信原则［C］
［解析］《民事诉讼法》第13条第1款规定：“民事诉讼应当遵循诚信原则。”这就意味着参与民事诉讼的各种主体均应当本着诚实善意的理念行使诉讼权利，实施民事诉讼行为，而不得滥用其诉讼权利。具体而言，诚信原则禁止当事人以欺骗性的方法形成不正当诉讼状态，禁止证人提供虚假证言，因此A项中“当事人以欺骗的方法形成不正当诉讼状态”，“欺骗的方法”显然是不诚信的。B项中“证人故意提供虚假证言”，也是不诚信的。
C项中“法院根据案件审理情况对当事人提供的证据不予采信”，是诚信原则的体现。对此，《民事诉讼法》第68条规定：“当事人对自己提出的主张应当及时提供证据。人民法院根据当事人的主张和案件审理情况，确定当事人应当提供的证据及其期限……”由此可见，法院对当事人提供的证据是否采信，要根据诚信原则，以案件审理情况为依据，而不能“任意进行取舍或否定”，D项中法院对当事人提出的证据任意进行取舍或否定，是有违诚信原则的。"
"考点5 调解原则
7.2014/3/36/单
依法治国要求树立法律权威，依法办事，因此在民事纠纷解决的过程中，各方主体都须遵守法律的
规定。下列哪一行为违背了相关法律？ 【C】
A.法院主动对确有错误的生效调解书启动再审
B.派出所民警对民事纠纷进行调解
C.法院为下落不明的被告指定代理人参加调解
D.人民调解委员会主动调解当事人之间的民间纠纷","多元化纠纷解决机制［C］
［解析］《民事诉讼法》第209条规定：“各级人民法院院长对本院已经发生法律效力的判决、裁定、调解书，发现确有错误，认为需要再审的，应当提交审判委员会讨论决定。最高人民法院对地方各级人民法院已经发生法律效力的判决、裁定、调解书，上级人民法院对下级人民法院已经发生法律效力的判决、裁定、调解书，发现确有错误的，有权提审或者指令下级人民法院再审。”故A项合法。
《调解规定》第1条规定：“根据民事诉讼法第九十五条（现为第98条，编者注）的规定，人民法院可以邀请与当事人有特定关系或者与案件有一定联系的企业事业单位、社会团体或者其他组织，和具有专门知识、特定社会经验、与当事人有特定关系并有利于促成调解的个人协助调解工作。经各方当事人同意，人民法院可以委托前款规定的单位或者个人对案件进行调解，达成调解协议后，人民法院应当依法予以确认。”派出所民警对民事纠纷进行调解，符合相关的法律规定。故B项合法。
我国民事诉讼法所规定的诉讼代理人分为两类：法定诉讼代理人和委托诉讼代理人。前者是指根据法律规定，代无诉讼行为能力的当事人为诉讼行为的人；后者是指根据当事人或其法定代理人委托，代当事人为诉讼行为的人。也就是说，在我国民事诉讼中，没有指定代理人的情况。另外，按照《民事诉讼法》第62条第1款的规定：“委托他人代为诉讼，必须向人民法院提交由委托人签名或者盖章的授权委托书。”如果是委托他人代为调解，按照《民诉解释》第147条的规定：“人民法院调解案件时，当事人不能出庭的，经其特别授权，可由其委托代理人参加调解，达成的调解协议，可由委托代理人签名。离婚案件当事人确因特殊情况无法出庭参加调解的，除本人不能表达意志的以外，应当出具书面意见。”综上，当被告下落不明时，法院无权为其指定代理人参加调解。故C项不符合法律规定，当选。
《人民调解法》第17条规定：“当事人可以向人民调解委员会申请调解；人民调解委员会也可以主动调解。当事人一方明确拒绝调解的，不得调解。”故D项合法。
法条变更：
《最高人民法院关于人民法院民事调解工作若干问题的规定》根据2020年12月23日最高人民法院审判委员会第1823次会议通过的《最高人民法院关于修改〈最高人民法院关于人民法院民事调解工作若干问题的规定〉等十九件民事诉讼类司法解释的决定》第二次修正

《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》根据2022年3月22日最高人民法院审判委员会第1866次会议通过的《最高人民法院关于修改〈最高人民法院关于适用《中华人民共和国民事诉讼法》的解释〉的决定》第二次修正"
"考点6 基本原则综合考点
8.2014/3/35/单
社会主义法治的价值追求是公平正义，因此必须坚持法律面前人人平等原则。下列哪一民事诉讼基
本原则最能体现法律面前人人平等原则的内涵？ 【C】
A.检察监督原则
B.诚实信用原则
C.当事人诉讼权利平等原则
D.同等原则和对等原则","当事人诉讼权利平等原则［C］
［解析］《民事诉讼法》第8条规定：“民事诉讼当事人有平等的诉讼权利。人民法院审理民事案件，应当保障和便利当事人行使诉讼权利，对当事人在适用法律上一律平等。”可见，诉讼权利平等原则是法律面前人人平等原则在民事诉讼中的具体体现。故C项当选。
A项的检察监督原则，强调的主体是检察院，而不是所有平等主体，故A项错误。B项的诚实信用原则，要求当事人和其他诉讼主体在诉讼中诚实守信，主要是对每个诉讼主体行为的规范，而不涉及互相之间权利义务的平等关系。D项的同等原则和对等原则主要处理外国人在华的诉讼地位问题，虽然同等原则说明我国民事诉讼法给予外国人国民待遇，但并不能全面反映法律面前人人平等的内涵。唯有C项的诉讼权利平等原则，其内涵即是“人民法院审理民事案件，应当保障和便利当事人行使诉讼权利，对当事人在适用法律上一律平等”。可见，法律面前人人平等原则是民事诉讼法的平等原则的基础，当事人诉讼权利平等体现了法律面前人人平等原则。"
"9.2013/3/45/单
关于民事诉讼基本原则的表述，下列哪一选项是正确的？ 【C】
A.外国人在我国进行民事诉讼时，与中国人享有同等的诉讼权利义务，体现了当事人诉讼权利平等
原则
B.法院未根据当事人的自认进行事实认定，违背了处分原则
C.当事人主张的法律关系与法院根据案件事实作出的认定不一致时，根据处分原则，当事人可以变
更诉讼请求
D.环保组织向法院提起公益诉讼，体现了支持起诉原则","民事诉讼基本原则［C］
［解析］《民事诉讼法》第5条规定：“外国人、无国籍人、外国企业和组织在人民法院起诉、应诉，同中华人民共和国公民、法人和其他组织有同等的诉讼权利义务。外国法院对中华人民共和国公民、法人和其他组织的民事诉讼权利加以限制的，中华人民共和国人民法院对该国公民、企业和组织的民事诉讼权利，实行对等原则。”外国人在我国进行民事诉讼时，与中国人享有同等的诉讼权利义务，体现的是同等原则。故A项错误。
法院未根据当事人的自认进行事实认定，违反辩论原则，因为辩论原则针对事实问题，而处分原则针对诉讼标的、诉讼请求，并非所有的事项均可适用自认。《民诉解释》第92条规定：“一方当事人在法庭审理中，或者在起诉状、答辩状、代理词等书面材料中，对于己不利的事实明确表示承认的，另一方当事人无需举证证明。对于涉及身份关系、国家利益、社会公共利益等应当由人民法院依职权调查的事实，不适用前款自认的规定。自认的事实与查明的事实不符的，人民法院不予确认。”因此，当事人处分权的行使，法院可以进行必要的干预。如果当事人对涉及身份关系的事实进行自认，法院可以不根据当事人的自认进行事实认定，这并不违反处分原则。故B项错误。
《民诉证据规定》第53条规定：“诉讼过程中，当事人主张的法律关系性质或者民事行为效力与人民法院根据案件事实作出的认定不一致的，人民法院应当将法律关系性质或者民事行为效力作为焦点问题进行审理。但法律关系性质对裁判理由及结果没有影响，或者有关问题已经当事人充分辩论的除外。存在前款情形，当事人根据法庭审理情况变更诉讼请求的，人民法院应当准许并可以根据案件的具体情况重新指定举证期限。”据此，当事人主张的法律关系与法院根据案件事实作出的认定不一致时，当事人可以变更诉讼请求，故C项正确。
《民事诉讼法》第15条规定：“机关、社会团体、企业事业单位对损害国家、集体或者个人民事权益的行为，可以支持受损害的单位或者个人向人民法院起诉。”因此，支持起诉是向受损害的单位或者个人提供帮助，而不是代替他们直接去起诉。故D项错误。
法条变更：《最高人民法院关于民事诉讼证据的若干规定》根据2019年10月14日最高人民法院审判委员会第1777次会议《关于修改〈关于民事诉讼证据的若干规定〉的决定》修正，自2020年5月1日起施行"
"10.2011/3/38/单
关于民事诉讼法基本原则在民事诉讼中的具体体现，下列哪一说法是正确的？ 【D】
A.当事人有权决定是否委托代理人代为进行诉讼，是诉讼权利平等原则的体现
B.当事人均有权委托代理人代为进行诉讼，是处分原则的体现
C.原告与被告在诉讼中有一些不同但相对等的权利，是同等原则的体现
D.当事人达成调解协议不仅要自愿，内容也不得违法，是法院调解自愿和合法原则的体现","民事诉讼法的基本原则［D］
［解析］处分原则是指民事诉讼当事人在法律规定的范围内，自由支配自己依法享有的民事权利和诉讼权利的准则。处分原则的核心在于强调当事人行使诉讼权利的自治性，因此，当事人决定是否委托代理人代为进行诉讼是处分原则的体现。故A项错误。
当事人的诉讼权利平等在民事诉讼中表现为双方当事人享有相同的诉讼权利和对等的诉讼权利。因此，当事人均有权委托代理人代为进行诉讼是平等原则的体现。故B项错误。
平等原则与同等原则适用的区别在于平等原则侧重于解决原告与被告行使诉讼权利的平等性；而同等原则则侧重于给外国当事人以国民的待遇。因此，原告与被告在诉讼中有一些不同但相对等的权利应为平等原则的体现。故C项错误。
法院调解应当遵循自愿合法的原则。因此，当事人达成调解协议不仅要自愿，内容也不得违法，是法院调解自愿和合法原则的体现。故D项正确。"
