Question,Answer
"第一章 法的本体
考点1 法的概念的争议
1.2017/1/88/任 【指2017年/试卷一/第88题/不定项——编者注。】
在小说《悲惨世界》中，心地善良的冉阿让因偷一块面包被判刑，他认为法律不公并屡次越狱，最
终被加刑至19年。他出狱后逃离指定居住地，虽隐姓埋名却仍遭警探沙威穷追不舍。沙威冷酷无情，
笃信法律就是法律，对冉阿让舍己救人、扶危济困的善举视而不见，直到被冉阿让冒死相救，才因法律
信仰崩溃而投河自尽。对此，下列说法正确的是： 【ACD】
A.如果认为不公正的法律不是法律，则可能得出冉阿让并未犯罪的结论
B.沙威“笃信法律就是法律”表达了非实证主义的法律观
C.冉阿让强调法律的正义价值，沙威强调法律的秩序价值
D.法律的权威源自人们的拥护和信仰，缺乏道德支撑的法律无法得到人们自觉的遵守","法与道德的关系；法的价值［ACD］
［解析］根据法与道德是否存在概念上的必然联系，分为实证主义法学派和非实证主义法学派。实证主义法学派强调法与道德没有必然的联系，即恶法亦法。非实证主义法学派强调法与道德有必然的联系，即恶法非法。如果认为不公正的法律不是法律，即恶法非法，依据不公正的法律得出的判决当然就不是合法的判决。故A项正确。
“笃信法律就是法律”，就是认为法与道德或者公正无关，也即所谓“恶法亦法”，这是实证主义法学流派的基本观点。故B项错误。
冉阿让为了公正不惜越狱，违背法律，强调的正是法律的正义价值。沙威笃信恶法亦法，国家法律必须遵守，追求的正是法律的秩序价值。故C项正确。
法律之所以有权威，或者说，人们之所以遵守法律，是因为法的效力来自法律、道德、社会等多种因素。关于法和道德之间的关系，现代社会的通说认为，法律和道德具有最低限度的一致性，应当以道德滋养法治精神、强化道德对法治文化的支撑作用。故D项正确。"
"2.2015/1/90/任
“法学作为科学无力回答正义的标准问题，因而是不是法与是不是正义的法是两个必须分离的问
题，道德上的善或正义不是法律存在并有效力的标准，法律规则不会因违反道德而丧失法的性质和效
力，即使那些同道德严重对抗的法也依然是法。”关于这段话，下列说法正确的是： 【C】
A.这段话既反映了实证主义法学派的观点，也反映了自然法学派的基本立场
B.根据社会法学派的看法，法的实施可以不考虑法律的社会实效
C.根据分析实证主义法学派的观点，内容正确性并非法的概念的定义要素
D.所有的法学学派均认为，法律与道德、正义等在内容上没有任何联系","法的概念的争议［C］
［解析］本段名言警句认为法与道德之间没有关系，恶法亦法，显然反映了实证主义法学的基本观点。而自然法学强调法和道德有必然联系，认为恶法非法。故A项错误。
社会法学派强调法的社会实效是法的概念的首要定义要素，因此，社会学法学必须强调法律实施的社会效果。故B项错误。
分析实证法学认为恶法亦法，即法和道德（即内容正确性）之间没有必然联系。故C项正确。
D项错在“所有的法学派认为”和“没有任何联系”。实证主义法学派认为，法与道德没有必然的联系；非实证主义法学派则认为，法与道德有必然的联系。但绝大多数法学家都认为法与道德在内容上存在联系，法律是最低限度的道德。故D项错误。"
"3.2013/1/88/任
关于实证主义法学和非实证主义法学，下列说法不正确的是： 【C】
A.实证主义法学认为，在“实际上是怎样的法”与“应该是怎样的法”之间不存在概念上的必然联系
B.非实证主义法学在定义法的概念时并不必然排除社会实效性要素和权威性制定要素
C.所有的非实证主义法学都可以被看作是古典自然法学
D.仅根据社会实效性要素，并不能将实证主义法学派、非实证主义法学派和其他法学派（比如社
会法学派）在法定义上的观点区别开来","法的概念；实证主义法学；非实证主义法学［C］
［解析］实证主义认为，在法与道德之间，在法律命令什么与正义要求什么之间，即实然法（实际上是怎样的法）和应然法（应该是怎样的法）之间，不存在概念上的必然联系。故A项正确。
非实证主义法学包括自然法学派和第三条道路，两者均要求法律必须符合道德，即都必须要求内容的正确性。对于自然法学派而言，只要法律符合道德即可，有没有权威性制定与社会实效性这两个要素均可。而第三条道路则三个要素都必须包括在内。故B项正确。
如前所述，非实证主义法学包括自然法学派与第三条道路。第三条道路三个定义要素都必须包括在内。而自然法学只要求必须有内容正确性这一个要素。古典自然法学派当然不能包括第三条道路。故C项错误。
非实证主义定义法的概念时，除了权威制定和社会实效两个要素外，必须要以内容正确性作为定义要素。而实证主义定义法的概念时，仅必须要求权威性制定和社会实效这两个要素。因此，区分关键是内容的正确性，而非社会实效。故D项正确。"
"考点2 法的特征
4.2020回忆/单
法谚有云：“习惯依靠自觉遵守，法律则被强制服从。”下列说法哪一项是正确的？ 【D】
A.习惯不设定义务
B.习惯不具有强制力
C.法律不被强制，则不被遵守
D.法律不被实施，则不生实效","权利与义务；法的实施；法的特征［D］
［解析］“权利义务”除了包括法律上的权利义务，还包括其他领域的权利义务，如道德权利义务、生活中的权利义务等。“习惯”也会设定权利义务，只不过不具备法定性而已，如“结婚要随礼”就是“传统习惯”设定的义务。故A项错误。
并非只有法具有强制力，道德、习惯、政策等社会规范都具有强制力，只是法律的强制力属于“国家强制力”。故B项错误。
守法并不完全是基于法的强制力，对有些人来说守法是一种习惯，还有人把守法视为道德，他们都会自觉遵守法律。故C项错误。【特别提醒】国家强制力是法律与其他社会规范的区别，但它只是法律的“最终”保障力量，不是法律的唯一保障力量。
法的实施与法的实效不同，法的实施强调法律运行的过程，法的实效则强调法律运行的实际效果。实施是实效的前提，是使“书本上的法”变成“行动中的法”的必备条件。故D项正确。"
"5.2014/1/9/单
法律格言说：“法律不能使人人平等，但在法律面前人人是平等的。”关于该法律格言，下列哪一说
法是正确的？ 【D】
A.每个人在法律面前事实上是平等的
B.在任何时代和社会，法律面前人人平等都是一项基本法律原则
C.法律可以解决现实中的一切不平等问题
D.法律面前人人平等原则并不禁止在立法上作出合理区别的规定","法的特征［D］
［解析］法律面前人人平等，主要是机会与过程的平等。事实上，由于人的天赋、家庭出身、财富、运气等不同，而事实上可能处于不平等的地位，如外交人员就具有豁免权。故A项错误。
法律面前人人平等是近代资产阶级革命以后才开始作为一项基本的法律原则。奴隶制、封建制社会通行的是特权和等级原则。故B项错误。
法律不是万能的，而是有局限性的。法律只能保证在法律适用面前的人人平等。故C项错误。
法律面前人人平等主要针对的是特权，禁止的是不合理差别。合理差别是允许存在的，如人大代表享有言论免责权。故D项正确。"
"6.2013/1/55/多
法是以国家强制力为后盾，通过法律程序保证实现的社会规范。关于法的这一特征，下列哪些说法
是正确的？ 【ABC】
A.法律具有保证自己得以实现的力量
B.法律具有程序性，这是区别于其他社会规范的重要特征
C.按照马克思主义法学的观点，法律主要依靠国家暴力作为外在强制的力量
D.自然力本质上属于法的强制力之组成部分","法的特征；法的国家强制力保障；法律程序［ABC］
［解析］任何规范均有保证自己实现的力量，法律依靠国家强制力保证实施。故A项正确。
国家暴力具有“合法性”。国家权力必须合法行使。法律的制定和实施都必须遵守法律程序，这是法区别于其他社会规范的重要特征。故B项正确。
不同的社会规范，其强制措施的方式、范围、程度、性质是不同的。法律强制是一种国家强制，是以军队、宪兵、警察、法官、监狱等国家暴力为后盾的强制。故C项正确。
法的强制性体现了国家强制力，国家强制力决定了法的强制性。可见法的强制性是由国家暴力保证的，而自然力则是指自然本身具有的威力，如地震、海啸等，因此自然力不是国家强制力的组成部分。故D项错误。"
"7.2009/1/8/单
《摩奴法典》是古印度的法典，《法典》第五卷第一百五十八条规定：“妇女要终生耐心、忍让、
热心善业、贞操，淡泊如学生，遵守关于妇女从一而终的卓越规定。”第一百六十四条规定：“不忠于丈
夫的妇女生前遭诟辱，死后投生在豺狼腹内，或为象皮病和肺痨所苦。”第八卷第四百一十七条规
定：“婆罗门贫困时，可完全问心无愧地将其奴隶首陀罗的财产据为己有，而国王不应加以处罚。”第十
一卷第八十一条规定：“坚持苦行，纯洁如学生，凝神静思，凡十二年，可以偿赎杀害一个婆罗门的罪
恶。”结合材料，判断下列哪一说法是错误的？ 【B】
A.《摩奴法典》的规定表明，人类早期的法律和道德、宗教等其他规范是浑然一体的
B.《摩奴法典》规定苦修可以免于处罚，说明《法典》缺乏强制性
C.《摩奴法典》公开维护人和人之间的不平等
D.《摩奴法典》带有浓厚的神秘色彩，与现代法律精神不相符合","法的特征［B］
［解析］法的起源是从法与宗教规范、道德规范的浑然一体到法与宗教规范、道德规范的分化，法的相对独立的发展过程。题干中，《摩奴法典》是古代的法典，从其具体表述上，如“妇女要终生耐心、忍让、热心善业、贞操，淡泊如学生”、“不忠于丈夫的妇女生前遭诟辱，死后投生在豺狼腹内，或为象皮病和肺痨所苦”等可知，早期的法律和道德、宗教等其他规范是浑然一体的。故A项正确。
《摩奴法典》规定苦修可以免于处罚，这属于法律责任的免除情形。虽然免除了法律责任，但不等于该法典没有强制力。《摩奴法典》属于法律，同样具有国家强制性的特征。故B项错误。
古印度实行种姓制度，婆罗门为最高阶层即统治阶级，首陀罗为社会底层即被剥削阶级。《摩奴法典》作为统治阶级的法公开维护这种不平等的社会关系，材料中“婆罗门贫困时，可完全问心无愧地将其奴隶首陀罗的财产据为己有，而国王不应加以处罚”便是明证。故C项正确。
《摩奴法典》属于奴隶制法，且宗教色彩浓厚，如“死后投生豺狼腹内”等规定具有迷信和神秘主义色彩，不符合现代法律理性与科学的价值追求。故D项正确。"
"8.2008/1/1/单
西方法律格言说：“法律不强人所难。”关于这句格言含义的阐释，下列哪一选项是正确的？
【C】
A.凡是人能够做到的，都是法律所要求的
B.对人所不知晓的事项，法律不得规定为义务
C.根据法律规定，人对不能预见的事项，不承担过错责任
D.天灾是人所不能控制的，也不是法律加以调整的事项","法的特征［C］
［解析］该格言主要包括两方面的含义：法律不能命令人们实施不可能实施的行为；法律不能禁止人们实施不可避免的行为。法律既然调整的是“意志行为”，因此法律在设定义务时，应以一般人的认知能力为标准，将法律责任限定在“意志能够预见”的范围内。此格言在19世纪末20世纪初上升为刑法理论，即“期待可能性理论”。
法律只调整人们的“意志行为”，而且只能调整可能影响“重要社会关系”的行为，也就是说，法律的调整范围有局限性，并不是所有的行为都是法律的调整对象。故A项错误。
法律在设定义务时，以“一般人的认知能力”为标准；但是法律一旦设定了明确的义务，任何人不得再以“不知晓”而拒绝履行，即不知法而犯法仍应承担责任。故B项错误。
“不能预见”在此实际是指“客观上不能预见”，即“超出了一般人的认知能力”。既然客观上超出了一般人的认知能力，则不属于“意志控制”的范围，缺乏期待可能性，故无需承担过错责任。故C项正确。
尽管天灾是人所不能控制的事项，但是，天灾却是法律加以调整的事项，如我国的《防震减灾法》，再如“不可抗力”在法律中的规定和适用。故D项错误。"
"考点3 法的本质的马克思主义观点
9.2012/1/54/多
下列有关“国法”的理解，哪些是不正确的？ 【ABC】
A.“国法”是国家法的另一种说法
B.“国法”仅指国家立法机关创制的法律
C.只有“国法”才有强制性
D.无论自然法学派，还是实证主义法学派，都可能把“国法”看作实在法","法的概念；法与道德［ABC］
［解析］国家法在大陆法系，一般指国家制定或者认可而形成的法，包括制定法与习惯法（不成文法）；而在英美法系，则还包括判例法。“国法”不等于国家法，“国法”包括国家法，还包括其他执行着国法职能的法，如教会法。故A项错误。
国法，是指特定国家现行有效的法，关键在于强调法与国家的关系，以区别于其他法的概念。其外延包括：成文法、判例法、习惯法（不成文法）、其他执行国法职能的法（如教会法）。国家立法机关创制的仅指国家制定法，故B项错误。
任何规范都具有强制力，法律、道德与宗教都具有强制性，只有法律具有国家强制性，故C项错误。
自然法学派认为符合道德的法才是法律，因此，如果国法符合道德，可以被自然法认为是实在法。实证主义法学派强调恶法亦法，即法律必须是国家制定出来的，因此，只要是国家制定而成的国法即可以被实证主义法学派认为是实在法，故D项正确。"
"考点4 法的作用
10.2014/1/10/单
关于法的规范作用，下列哪一说法是正确的？ 【D】
A.陈法官依据诉讼法规定主动申请回避，体现了法的教育作用
B.法院判决王某行为构成盗窃罪，体现了法的指引作用
C.林某参加法律培训后开始重视所经营企业的法律风险防控，反映了法的保护自由价值的作用
D.王某因散布谣言被罚款300元，体现了法的强制作用","法的作用（规范作用）［D］
［解析］法的规范作用。

要注意区分“本人”和“一般人”。“本人”是指特定的人，如“咱们班的人”；“一般人”是指不特定的人，如“街上往来的人”。
陈法官依据诉讼法规定主动申请回避，体现法的指引作用。故A项错误。
法院判决王某行为构成盗窃罪，针对王某而言，体现了法的强制作用。针对法官而言，体现的是评价作用。故B项错误。
法的作用包括指引作用、评价作用、教育作用、预测作用、强制作用，共5种，并不包括所谓保护自由价值的作用。故C项错误。
法的强制作用针对的是违法者的行为，一般由国家机关针对违法者而作出处罚。故D项正确。"
